, "id", "k", "i", "j", "f", "Active"
636, 636, 1, 32, 16, 0.5, 1
637, 637, 1, 32, 17, 0.4, 1
638, 638, 1, 32, 18, 0.5, 1
639, 639, 1, 32, 19, 0.6, 1
640, 640, 1, 32, 20, 0.8, 1
641, 641, 1, 33, 1, 6.0, 1
642, 642, 1, 33, 2, 5.8, 1
643, 643, 1, 33, 3, 5.7, 1
644, 644, 1, 33, 4, 5.4, 1
645, 645, 1, 33, 5, 5.1, 1
646, 646, 1, 33, 6, 4.8, 1
647, 647, 1, 33, 7, 4.4, 1
648, 648, 1, 33, 8, 3.9, 1
649, 649, 1, 33, 9, 3.2, 1
650, 650, 1, 33, 10, 2.5, 1
651, 651, 1, 33, 11, 1.7, 1
652, 652, 1, 33, 12, 1.0, 1
653, 653, 1, 33, 13, 0.6, 1
654, 654, 1, 33, 14, 0.5, 1
655, 655, 1, 33, 15, 0.4, 1
656, 656, 1, 33, 16, 0.3, 1
657, 657, 1, 33, 17, 0.4, 1
658, 658, 1, 33, 18, 0.5, 1
659, 659, 1, 33, 19, 0.6, 1
660, 660, 1, 33, 20, 0.7, 1
661, 661, 1, 34, 1, 5.8, 1
662, 662, 1, 34, 2, 5.6, 1
663, 663, 1, 34, 3, 5.4, 1
664, 664, 1, 34, 4, 5.2, 1
665, 665, 1, 34, 5, 4.9, 1
666, 666, 1, 34, 6, 4.6, 1
667, 667, 1, 34, 7, 4.2, 1
668, 668, 1, 34, 8, 3.7, 1
669, 669, 1, 34, 9, 3.0, 1
670, 670, 1, 34, 10, 2.2, 1
671, 671, 1, 34, 11, 1.4, 1
672, 672, 1, 34, 12, 0.5, 1
673, 673, 1, 34, 13, 0.3, 1
674, 674, 1, 34, 14, 0.3, 1
675, 675, 1, 34, 15, 0.2, 1
676, 676, 1, 34, 16, 0.2, 1
677, 677, 1, 34, 17, 0.3, 1
678, 678, 1, 34, 18, 0.4, 1
679, 679, 1, 34, 19, 0.6, 1
680, 680, 1, 34, 20, 0.7, 1
681, 681, 1, 35, 1, 5.6, 1
682, 682, 1, 35, 2, 5.5, 1
683, 683, 1, 35, 3, 5.3, 1
684, 684, 1, 35, 4, 5.0, 1
685, 685, 1, 35, 5, 4.7, 1
686, 686, 1, 35, 6, 4.4, 1
687, 687, 1, 35, 7, 4.0, 1
688, 688, 1, 35, 8, 3.5, 1
689, 689, 1, 35, 9, 3.0, 1
690, 690, 1, 35, 10, 2.1, 1
691, 691, 1, 35, 11, 1.2, 1
692, 692, 1, 35, 12, 0.5, 1
693, 693, 1, 35, 13, 0.2, 1
694, 694, 1, 35, 14, 0.2, 1
695, 695, 1, 35, 15, 0.2, 1
696, 696, 1, 35, 16, 0.2, 1
697, 697, 1, 35, 17, 0.3, 1
698, 698, 1, 35, 18, 0.4, 1
699, 699, 1, 35, 19, 0.6, 1
700, 700, 1, 35, 20, 0.7, 1
701, 701, 1, 36, 1, 5.5, 1
702, 702, 1, 36, 2, 5.3, 1
703, 703, 1, 36, 3, 5.1, 1
704, 704, 1, 36, 4, 4.9, 1
705, 705, 1, 36, 5, 4.6, 1
706, 706, 1, 36, 6, 4.2, 1
707, 707, 1, 36, 7, 3.8, 1
708, 708, 1, 36, 8, 3.4, 1
709, 709, 1, 36, 9, 2.8, 1
710, 710, 1, 36, 10, 2.0, 1
711, 711, 1, 36, 11, 1.2, 1
712, 712, 1, 36, 12, 0.5, 1
713, 713, 1, 36, 13, 0.2, 1
714, 714, 1, 36, 14, 0.1, 1
715, 715, 1, 36, 15, 0.1, 1
716, 716, 1, 36, 16, 0.2, 1
717, 717, 1, 36, 17, 0.3, 1
718, 718, 1, 36, 18, 0.4, 1
719, 719, 1, 36, 19, 0.6, 1
720, 720, 1, 36, 20, 0.7, 1
721, 721, 1, 37, 1, 5.3, 1
722, 722, 1, 37, 2, 5.2, 1
723, 723, 1, 37, 3, 4.9, 1
724, 724, 1, 37, 4, 4.7, 1
725, 725, 1, 37, 5, 4.4, 1
726, 726, 1, 37, 6, 4.1, 1
727, 727, 1, 37, 7, 3.7, 1
728, 728, 1, 37, 8, 3.2, 1
729, 729, 1, 37, 9, 2.7, 1
730, 730, 1, 37, 10, 1.9, 1
731, 731, 1, 37, 11, 1.2, 1
732, 732, 1, 37, 12, 0.6, 1
733, 733, 1, 37, 13, 0.3, 1
734, 734, 1, 37, 14, 0.2, 1
735, 735, 1, 37, 15, 0.2, 1
736, 736, 1, 37, 16, 0.2, 1
737, 737, 1, 37, 17, 0.3, 1
738, 738, 1, 37, 18, 0.4, 1
739, 739, 1, 37, 19, 0.6, 1
740, 740, 1, 37, 20, 0.8, 1
741, 741, 1, 38, 1, 5.2, 1
742, 742, 1, 38, 2, 5.0, 1
743, 743, 1, 38, 3, 4.8, 1
744, 744, 1, 38, 4, 4.6, 1
745, 745, 1, 38, 5, 4.3, 1
746, 746, 1, 38, 6, 4.0, 1
747, 747, 1, 38, 7, 3.7, 1
748, 748, 1, 38, 8, 3.2, 1
749, 749, 1, 38, 9, 2.7, 1
750, 750, 1, 38, 10, 2.0, 1
751, 751, 1, 38, 11, 1.3, 1
752, 752, 1, 38, 12, 0.7, 1
753, 753, 1, 38, 13, 0.4, 1
754, 754, 1, 38, 14, 0.3, 1
755, 755, 1, 38, 15, 0.3, 1
756, 756, 1, 38, 16, 0.3, 1
757, 757, 1, 38, 17, 0.4, 1
758, 758, 1, 38, 18, 0.5, 1
759, 759, 1, 38, 19, 0.7, 1
760, 760, 1, 38, 20, 0.9, 1
761, 761, 1, 39, 1, 5.1, 1
762, 762, 1, 39, 2, 4.9, 1
763, 763, 1, 39, 3, 4.7, 1
764, 764, 1, 39, 4, 4.5, 1
765, 765, 1, 39, 5, 4.2, 1
766, 766, 1, 39, 6, 4.0, 1
767, 767, 1, 39, 7, 3.6, 1
768, 768, 1, 39, 8, 3.3, 1
769, 769, 1, 39, 9, 2.8, 1
770, 770, 1, 39, 10, 2.0, 1
771, 771, 1, 39, 11, 1.3, 1
772, 772, 1, 39, 12, 0.7, 1
773, 773, 1, 39, 13, 0.4, 1
774, 774, 1, 39, 14, 0.3, 1
775, 775, 1, 39, 15, 0.4, 1
776, 776, 1, 39, 16, 0.4, 1
777, 777, 1, 39, 17, 0.5, 1
778, 778, 1, 39, 18, 0.6, 1
779, 779, 1, 39, 19, 0.8, 1
780, 780, 1, 39, 20, 1.0, 1
781, 781, 1, 40, 1, 5.0, 1
782, 782, 1, 40, 2, 4.8, 1
783, 783, 1, 40, 3, 4.6, 1
784, 784, 1, 40, 4, 4.4, 1
785, 785, 1, 40, 5, 4.1, 1
786, 786, 1, 40, 6, 3.9, 1
787, 787, 1, 40, 7, 3.6, 1
788, 788, 1, 40, 8, 3.3, 1
789, 789, 1, 40, 9, 3.0, 1
790, 790, 1, 40, 10, 2.1, 1
791, 791, 1, 40, 11, 1.3, 1
792, 792, 1, 40, 12, 0.5, 1
793, 793, 1, 40, 13, 0.5, 1
794, 794, 1, 40, 14, 0.5, 1
795, 795, 1, 40, 15, 0.5, 1
796, 796, 1, 40, 16, 0.6, 1
797, 797, 1, 40, 17, 0.7, 1
798, 798, 1, 40, 18, 0.8, 1
799, 799, 1, 40, 19, 1.0, 1
800, 800, 1, 40, 20, 1.1, 1
