, "id", "k", "i", "j", "f", "Active"
250, 250, 1, 13, 10, 4.5, 1
251, 251, 1, 13, 11, 3.5, 1
252, 252, 1, 13, 12, 2.8, 1
253, 253, 1, 13, 13, 2.3, 1
254, 254, 1, 13, 14, 2.2, 1
255, 255, 1, 13, 15, 2.3, 1
256, 256, 1, 13, 16, 2.4, 1
257, 257, 1, 13, 17, 2.6, 1
258, 258, 1, 13, 18, 2.8, 1
259, 259, 1, 13, 19, 3.0, 1
260, 260, 1, 13, 20, 3.1, 1
261, 261, 1, 14, 1, 11.7, 1
262, 262, 1, 14, 2, 11.6, 1
263, 263, 1, 14, 3, 11.2, 1
264, 264, 1, 14, 4, 10.6, 1
265, 265, 1, 14, 5, 9.7, 1
266, 266, 1, 14, 6, 8.6, 1
267, 267, 1, 14, 7, 7.5, 1
268, 268, 1, 14, 8, 6.3, 1
269, 269, 1, 14, 9, 5.2, 1
270, 270, 1, 14, 10, 4.0, 1
271, 271, 1, 14, 11, 3.0, 1
272, 272, 1, 14, 12, 2.2, 1
273, 273, 1, 14, 13, 1.9, 1
274, 274, 1, 14, 14, 1.9, 1
275, 275, 1, 14, 15, 2.1, 1
276, 276, 1, 14, 16, 2.3, 1
277, 277, 1, 14, 17, 2.5, 1
278, 278, 1, 14, 18, 2.8, 1
279, 279, 1, 14, 19, 3.0, 1
280, 280, 1, 14, 20, 3.1, 1
281, 281, 1, 15, 1, 11.1, 1
282, 282, 1, 15, 2, 10.9, 1
283, 283, 1, 15, 3, 10.5, 1
284, 284, 1, 15, 4, 9.8, 1
285, 285, 1, 15, 5, 9.0, 1
286, 286, 1, 15, 6, 8.1, 1
287, 287, 1, 15, 7, 7.0, 1
288, 288, 1, 15, 8, 5.9, 1
289, 289, 1, 15, 9, 4.8, 1
290, 290, 1, 15, 10, 3.7, 1
291, 291, 1, 15, 11, 2.6, 1
292, 292, 1, 15, 12, 1.5, 1
293, 293, 1, 15, 13, 1.6, 1
294, 294, 1, 15, 14, 1.8, 1
295, 295, 1, 15, 15, 2.0, 1
296, 296, 1, 15, 16, 2.3, 1
297, 297, 1, 15, 17, 2.5, 1
298, 298, 1, 15, 18, 2.8, 1
299, 299, 1, 15, 19, 3.0, 1
300, 300, 1, 15, 20, 3.1, 1
301, 301, 1, 16, 1, 10.5, 1
302, 302, 1, 16, 2, 10.2, 1
303, 303, 1, 16, 3, 9.8, 1
304, 304, 1, 16, 4, 9.2, 1
305, 305, 1, 16, 5, 8.4, 1
306, 306, 1, 16, 6, 7.5, 1
307, 307, 1, 16, 7, 6.6, 1
308, 308, 1, 16, 8, 5.5, 1
309, 309, 1, 16, 9, 4.5, 1
310, 310, 1, 16, 10, 3.5, 1
311, 311, 1, 16, 11, 2.5, 1
312, 312, 1, 16, 12, 1.8, 1
313, 313, 1, 16, 13, 1.6, 1
314, 314, 1, 16, 14, 1.7, 1
315, 315, 1, 16, 15, 1.9, 1
316, 316, 1, 16, 16, 2.2, 1
317, 317, 1, 16, 17, 2.6, 1
318, 318, 1, 16, 18, 2.9, 1
319, 319, 1, 16, 19, 3.0, 1
320, 320, 1, 16, 20, 3.0, 1
321, 321, 1, 17, 1, 9.9, 1
322, 322, 1, 17, 2, 9.6, 1
323, 323, 1, 17, 3, 9.2, 1
324, 324, 1, 17, 4, 8.6, 1
325, 325, 1, 17, 5, 7.9, 1
326, 326, 1, 17, 6, 7.1, 1
327, 327, 1, 17, 7, 6.2, 1
328, 328, 1, 17, 8, 5.2, 1
329, 329, 1, 17, 9, 4.3, 1
330, 330, 1, 17, 10, 3.4, 1
331, 331, 1, 17, 11, 2.6, 1
332, 332, 1, 17, 12, 2.0, 1
333, 333, 1, 17, 13, 1.7, 1
334, 334, 1, 17, 14, 1.7, 1
335, 335, 1, 17, 15, 1.9, 1
336, 336, 1, 17, 16, 2.2, 1
337, 337, 1, 17, 17, 2.6, 1
338, 338, 1, 17, 18, 3.0, 1
339, 339, 1, 17, 19, 3.0, 1
340, 340, 1, 17, 20, 3.0, 1
341, 341, 1, 18, 1, 9.4, 1
342, 342, 1, 18, 2, 9.1, 1
343, 343, 1, 18, 3, 8.7, 1
344, 344, 1, 18, 4, 8.1, 1
345, 345, 1, 18, 5, 7.4, 1
346, 346, 1, 18, 6, 6.7, 1
347, 347, 1, 18, 7, 5.9, 1
348, 348, 1, 18, 8, 5.0, 1
349, 349, 1, 18, 9, 4.1, 1
350, 350, 1, 18, 10, 3.3, 1
351, 351, 1, 18, 11, 2.6, 1
352, 352, 1, 18, 12, 2.1, 1
353, 353, 1, 18, 13, 1.8, 1
354, 354, 1, 18, 14, 1.7, 1
355, 355, 1, 18, 15, 1.8, 1
356, 356, 1, 18, 16, 2.1, 1
357, 357, 1, 18, 17, 2.4, 1
358, 358, 1, 18, 18, 2.7, 1
359, 359, 1, 18, 19, 2.8, 1
360, 360, 1, 18, 20, 2.8, 1
361, 361, 1, 19, 1, 9.0, 1
362, 362, 1, 19, 2, 8.7, 1
363, 363, 1, 19, 3, 8.2, 1
364, 364, 1, 19, 4, 7.7, 1
365, 365, 1, 19, 5, 7.1, 1
366, 366, 1, 19, 6, 6.4, 1
367, 367, 1, 19, 7, 5.6, 1
368, 368, 1, 19, 8, 4.8, 1
369, 369, 1, 19, 9, 4.0, 1
370, 370, 1, 19, 10, 3.2, 1
371, 371, 1, 19, 11, 2.6, 1
372, 372, 1, 19, 12, 2.1, 1
373, 373, 1, 19, 13, 1.7, 1
374, 374, 1, 19, 14, 1.6, 1
375, 375, 1, 19, 15, 1.7, 1
376, 376, 1, 19, 16, 1.9, 1
377, 377, 1, 19, 17, 2.2, 1
378, 378, 1, 19, 18, 2.4, 1
379, 379, 1, 19, 19, 2.5, 1
380, 380, 1, 19, 20, 2.6, 1
381, 381, 1, 20, 1, 8.6, 1
382, 382, 1, 20, 2, 8.3, 1
383, 383, 1, 20, 3, 7.9, 1
384, 384, 1, 20, 4, 7.4, 1
385, 385, 1, 20, 5, 6.8, 1
386, 386, 1, 20, 6, 6.1, 1
387, 387, 1, 20, 7, 5.4, 1
388, 388, 1, 20, 8, 4.6, 1
389, 389, 1, 20, 9, 3.8, 1
390, 390, 1, 20, 10, 3.1, 1
391, 391, 1, 20, 11, 2.5, 1
392, 392, 1, 20, 12, 2.0, 1
393, 393, 1, 20, 13, 1.7, 1
394, 394, 1, 20, 14, 1.5, 1
395, 395, 1, 20, 15, 1.6, 1
396, 396, 1, 20, 16, 1.8, 1
397, 397, 1, 20, 17, 2.0, 1
398, 398, 1, 20, 18, 2.2, 1
399, 399, 1, 20, 19, 2.3, 1
400, 400, 1, 20, 20, 2.4, 1
401, 401, 1, 21, 1, 8.2, 1
402, 402, 1, 21, 2, 7.9, 1
403, 403, 1, 21, 3, 7.5, 1
404, 404, 1, 21, 4, 7.1, 1
405, 405, 1, 21, 5, 6.5, 1
406, 406, 1, 21, 6, 5.9, 1
407, 407, 1, 21, 7, 5.2, 1
408, 408, 1, 21, 8, 4.5, 1
409, 409, 1, 21, 9, 3.7, 1
410, 410, 1, 21, 10, 3.0, 1
411, 411, 1, 21, 11, 2.4, 1
412, 412, 1, 21, 12, 1.9, 1
413, 413, 1, 21, 13, 1.6, 1
414, 414, 1, 21, 14, 1.5, 1
415, 415, 1, 21, 15, 1.5, 1
416, 416, 1, 21, 16, 1.6, 1
417, 417, 1, 21, 17, 1.8, 1
418, 418, 1, 21, 18, 2.0, 1
419, 419, 1, 21, 19, 2.1, 1
420, 420, 1, 21, 20, 2.2, 1
421, 421, 1, 22, 1, 8.0, 1
422, 422, 1, 22, 2, 7.7, 1
423, 423, 1, 22, 3, 7.3, 1
424, 424, 1, 22, 4, 6.9, 1
425, 425, 1, 22, 5, 6.4, 1
426, 426, 1, 22, 6, 5.8, 1
427, 427, 1, 22, 7, 5.1, 1
