time,HD01,HD02,HD03,HD04,HD05,HD06,HD07,HD08,HD09,HD10,HD11,HD12,HD13,HD14
32255.50000000,-17.08315000,-16.46046703,-19.83211486,-34.72879138,-46.37466667,-46.39400000,-46.38856643,-36.41997189,-24.38572649,-35.92903965,-46.39400000,-45.80081610,-45.51620000,-45.47969589
32256.50000000,-17.08390000,-16.46118110,-19.83313900,-34.73014488,-46.33793032,-46.35745000,-46.34422715,-36.42147532,-24.38722833,-35.93051950,-46.35745000,-45.80777940,-45.51925000,-45.48746539
32257.50000000,-17.08465000,-16.46189522,-19.83416313,-34.73147488,-46.25110020,-46.26600000,-46.26016106,-36.42295479,-24.38873016,-35.93197610,-46.26600000,-45.81034154,-45.52535000,-45.49435022
32258.50000000,-17.08540000,-16.46260940,-19.83518725,-34.73278570,-46.18052266,-46.19435000,-46.18674173,-36.42441329,-24.39023199,-35.93341440,-46.19435000,-45.81009074,-45.53755000,-45.50278574
32259.50000000,-17.08615000,-16.46332363,-19.83621137,-34.73408666,-46.14486568,-46.15930000,-46.14588101,-36.42585994,-24.39173381,-35.93484358,-46.15930000,-45.80893581,-45.55430000,-45.51353800
32260.50000000,-17.08690000,-16.46403793,-19.83723549,-34.73538728,-46.14500811,-46.16085000,-46.14093503,-36.42730481,-24.39323562,-35.93627279,-46.16085000,-45.80935169,-45.56650000,-45.52402937
32261.50000000,-17.08770000,-16.46475230,-19.83825960,-34.73666916,-46.07600504,-46.08770000,-46.07836645,-36.42873176,-24.39473742,-35.93768334,-46.08770000,-45.80527550,-45.57870000,-45.53450124
32262.50000000,-17.08850000,-16.46546675,-19.83928370,-34.73793156,-46.00420620,-46.01455000,-46.00697213,-36.43013832,-24.39623920,-35.93907524,-46.01455000,-45.79756927,-45.59240000,-45.54552281
32263.50000000,-17.08925000,-16.46618125,-19.84030779,-34.73919710,-46.01732089,-46.03135000,-46.01023606,-36.43154542,-24.39774097,-35.94047100,-46.03135000,-45.79370221,-45.60305000,-45.55584501
32264.50000000,-17.09000000,-16.46689581,-19.84133188,-34.74047352,-46.05964280,-46.07555000,-46.04808867,-36.43296273,-24.39924274,-35.94187749,-46.07555000,-45.79468697,-45.60915000,-45.56431885
32265.50000000,-17.09075000,-16.46761043,-19.84235596,-34.74175041,-46.06274094,-46.07705000,-46.05515643,-36.43438163,-24.40074449,-35.94328401,-46.07705000,-45.79603307,-45.61375000,-45.57132557
32266.50000000,-17.09150000,-16.46832511,-19.84338003,-34.74301202,-46.00674199,-46.01760000,-46.00600474,-36.43578638,-24.40224623,-35.94467531,-46.01760000,-45.79328135,-45.62290000,-45.57903938
32267.50000000,-17.09210000,-16.46903979,-19.84440409,-34.74426503,-45.97575708,-45.98710000,-45.97270572,-36.43718142,-24.40374795,-35.94605864,-45.98710000,-45.78925255,-45.62900000,-45.58602512
32268.50000000,-17.09270000,-16.46975448,-19.84542814,-34.74551198,-45.95436132,-45.96575000,-45.94956672,-36.43856961,-24.40524966,-35.94743629,-45.96575000,-45.78404321,-45.62440000,-45.58902032
32269.50000000,-17.09345000,-16.47046922,-19.84645218,-34.74674186,-45.89151427,-45.90025000,-45.89067598,-36.43994092,-24.40675135,-35.94879720,-45.90025000,-45.77369791,-45.61220000,-45.58712106
32270.50000000,-17.09425000,-16.47118403,-19.84747621,-34.74794766,-45.80236889,-45.80880000,-45.80438091,-36.44128770,-24.40825302,-35.95013490,-45.80880000,-45.75763172,-45.60765000,-45.58517215
32271.50000000,-17.09490000,-16.47189887,-19.84850022,-34.74912217,-45.68602365,-45.68990000,-45.69069247,-36.44260229,-24.40975466,-35.95144252,-45.68990000,-45.73607178,-45.62135000,-45.58998972
32272.50000000,-17.09550000,-16.47261372,-19.84952421,-34.75028161,-45.63062563,-45.63660000,-45.62824197,-36.44389904,-24.41125628,-35.95273649,-45.63660000,-45.71487749,-45.63050000,-45.59539980
32273.50000000,-17.09610000,-16.47332856,-19.85054819,-34.75147436,-45.75705342,-45.77225000,-45.73330683,-36.44522487,-24.41275788,-35.95406411,-45.77225000,-45.70751029,-45.61830000,-45.59446920
32274.50000000,-17.09670000,-16.47404341,-19.85157216,-34.75270658,-45.90664405,-45.92465000,-45.87818336,-36.44659091,-24.41425946,-35.95542957,-45.92465000,-45.71283595,-45.60610000,-45.58953436
32275.50000000,-17.09730000,-16.47475826,-19.85259612,-34.75394119,-45.91698932,-45.92920000,-45.90422062,-36.44796388,-24.41576103,-35.95679583,-45.92920000,-45.71733934,-45.60305000,-45.58642095
32276.50000000,-17.09790000,-16.47547312,-19.85362006,-34.75516061,-45.86120048,-45.86975000,-45.85797430,-36.44932352,-24.41726257,-35.95814688,-45.86975000,-45.71576597,-45.59695000,-45.58256490
32277.50000000,-17.09850000,-16.47618798,-19.85464399,-34.75635606,-45.77240704,-45.77835000,-45.77365813,-36.45065919,-24.41876410,-35.95947474,-45.77835000,-45.70676181,-45.59240000,-45.57898487
32278.50000000,-17.09895000,-16.47690278,-19.85566791,-34.75754253,-45.73992810,-45.74785000,-45.73497303,-36.45198368,-24.42026560,-35.96079464,-45.74785000,-45.69658154,-45.58785000,-45.57546475
