,geometry,ptname
92,POINT (1521064.5945386346 5031353.080909882),92
93,POINT (1521080.681237476 5031320.060843842),93
94,POINT (1521118.7813136755 5031245.554028163),94
95,POINT (1521158.5747265955 5031182.053901162),95
96,POINT (1521191.594792637 5031115.167100722),96
97,POINT (1521228.8482004767 5031052.513642084),97
98,POINT (1521255.9415879976 5031006.79355064),98
99,POINT (1521293.1949958354 5030933.980071679),99
100,POINT (1521316.0550415562 5030878.946628282),100
101,POINT (1521342.3017607173 5030796.819797359),101
102,POINT (1521369.3951482354 5030699.452935958),102
103,POINT (1521391.4085255964 5030616.479436681),103
104,POINT (1521406.6485560779 5030558.397987183),104
105,POINT (1521434.5886119558 5030483.891171504),105
106,POINT (1521474.3820248777 5030413.617697619),106
107,POINT (1521521.7954530371 5030366.204269461),107
108,POINT (1521535.3421467962 5030334.030871781),108
109,POINT (1521542.1154936776 5030285.77077526),109
110,POINT (1521559.8955292376 5030265.450734621),110
111,POINT (1521603.9222839586 5030264.604066264),111
112,POINT (1521644.5623652376 5030275.6107549425),112
113,POINT (1521686.0491148774 5030301.010805741),113
114,POINT (1521724.1491910797 5030331.490866704),114
115,POINT (1521784.2626446383 5030319.637509661),115
116,POINT (1521877.2268305663 5030271.716080483),116
117,POINT (1522027.2268305663 5030121.716080483),117
