,0,1,2,3,4,5,6,7,Left0,Left1,Left2,Right0,Right1,Right2
63,"(63, 0, 0)","(63, 0, 99)",1,0.03,0.03,1,90.0,0.06,63,0,0,63,0,99
64,"(64, 0, 0)","(64, 0, 99)",1,0.03,0.03,1,90.0,0.06,64,0,0,64,0,99
65,"(65, 0, 0)","(65, 0, 99)",1,0.03,0.03,1,90.0,0.06,65,0,0,65,0,99
66,"(66, 0, 0)","(66, 0, 99)",1,0.03,0.03,1,90.0,0.06,66,0,0,66,0,99
67,"(67, 0, 0)","(67, 0, 99)",1,0.03,0.03,1,90.0,0.06,67,0,0,67,0,99
68,"(68, 0, 0)","(68, 0, 99)",1,0.03,0.03,1,90.0,0.06,68,0,0,68,0,99
69,"(69, 0, 0)","(69, 0, 99)",1,0.03,0.03,1,90.0,0.06,69,0,0,69,0,99
70,"(70, 0, 0)","(70, 0, 99)",1,0.03,0.03,1,90.0,0.06,70,0,0,70,0,99
71,"(71, 0, 0)","(71, 0, 99)",1,0.03,0.03,1,90.0,0.06,71,0,0,71,0,99
72,"(72, 0, 0)","(72, 0, 99)",1,0.03,0.03,1,90.0,0.06,72,0,0,72,0,99
73,"(73, 0, 0)","(73, 0, 99)",1,0.03,0.03,1,90.0,0.06,73,0,0,73,0,99
74,"(74, 0, 0)","(74, 0, 99)",1,0.03,0.03,1,90.0,0.06,74,0,0,74,0,99
75,"(75, 0, 0)","(75, 0, 99)",1,0.03,0.03,1,90.0,0.06,75,0,0,75,0,99
76,"(76, 0, 0)","(76, 0, 99)",1,0.03,0.03,1,90.0,0.06,76,0,0,76,0,99
77,"(77, 0, 0)","(77, 0, 99)",1,0.03,0.03,1,90.0,0.06,77,0,0,77,0,99
78,"(78, 0, 0)","(78, 0, 99)",1,0.03,0.03,1,90.0,0.06,78,0,0,78,0,99
79,"(79, 0, 0)","(79, 0, 99)",1,0.03,0.03,1,90.0,0.06,79,0,0,79,0,99
80,"(80, 0, 0)","(80, 0, 99)",1,0.03,0.03,1,90.0,0.06,80,0,0,80,0,99
81,"(81, 0, 0)","(81, 0, 99)",1,0.03,0.03,1,90.0,0.06,81,0,0,81,0,99
82,"(82, 0, 0)","(82, 0, 99)",1,0.03,0.03,1,90.0,0.06,82,0,0,82,0,99
83,"(83, 0, 0)","(83, 0, 99)",1,0.03,0.03,1,90.0,0.06,83,0,0,83,0,99
84,"(84, 0, 0)","(84, 0, 99)",1,0.03,0.03,1,90.0,0.06,84,0,0,84,0,99
85,"(85, 0, 0)","(85, 0, 99)",1,0.03,0.03,1,90.0,0.06,85,0,0,85,0,99
86,"(86, 0, 0)","(86, 0, 99)",1,0.03,0.03,1,90.0,0.06,86,0,0,86,0,99
