time,BCKGRND
467.5000000000,99.90803050299465
470.0000000000,99.91140553040707
472.5000000000,99.91465670360252
475.0000000000,99.91778856768988
477.5000000000,99.92080550098504
480.0000000000,99.92371172113175
482.5000000000,99.92651129099784
485.0000000000,99.92920812435507
487.5000000000,99.93180599135059
490.0000000000,99.93430852377746
492.5000000000,99.93671922015197
495.0000000000,99.93904145060448
497.5000000000,99.94127846159084
500.0000000000,99.94343338043092
502.5000000000,99.94550921968055
505.0000000000,99.94750888134301
507.5000000000,99.94943516092613
510.0000000000,99.95129075135023
512.5000000000,99.95307824671291
515.0000000000,99.95480014591548
517.5000000000,99.95645885615650
520.0000000000,99.95805669629692
522.5000000000,99.95959590010192
525.0000000000,99.96107861936360
527.5000000000,99.96250692690926
530.0000000000,99.96388281949913
532.5000000000,99.96520822061780
535.0000000000,99.96648498316331
537.5000000000,99.96771489203743
540.0000000000,99.96889966664095
542.5000000000,99.97004096327736
545.0000000000,99.97114037746837
547.5000000000,99.97219944618452
550.0000000000,99.97321964999362
552.5000000000,99.97420241513085
555.0000000000,99.97514911549239
557.5000000000,99.97606107455626
560.0000000000,99.97693956723246
562.5000000000,99.97778582164533
565.0000000000,99.97860102085038
567.5000000000,99.97938630448827
570.0000000000,99.98014277037800
572.5000000000,99.98087147605158
575.0000000000,99.98157344023254
577.5000000000,99.98224964426008
580.0000000000,99.98290103346092
582.5000000000,99.98352851847091
585.0000000000,99.98413297650805
587.5000000000,99.98471525259887
590.0000000000,99.98527616075975
592.5000000000,99.98581648513490
595.0000000000,99.98633698109268
597.5000000000,99.98683837628138
600.0000000000,99.98732137164666
602.5000000000,99.98778664241136
605.0000000000,99.98823483901957
607.5000000000,99.98866658804583
610.0000000000,99.98908249307112
612.5000000000,99.98948313552668
615.0000000000,99.98986907550680
617.5000000000,99.99024085255188
620.0000000000,99.99059898640263
622.5000000000,99.99094397772676
625.0000000000,99.99127630881881
627.5000000000,99.99159644427445
630.0000000000,99.99190483163997
632.5000000000,99.99220190203795
635.0000000000,99.99248807076995
637.5000000000,99.99276373789711
640.0000000000,99.99302928879942
642.5000000000,99.99328509471449
645.0000000000,99.99353151325653
647.5000000000,99.99376888891629
650.0000000000,99.99399755354267
652.5000000000,99.99421782680662
655.0000000000,99.99443001664804
657.5000000000,99.99463441970627
660.0000000000,99.99483132173485
662.5000000000,99.99502099800092
665.0000000000,99.99520371367007
667.5000000000,99.99537972417704
670.0000000000,99.99554927558285
672.5000000000,99.99571260491872
675.0000000000,99.99586994051749
677.5000000000,99.99602150233282
680.0000000000,99.99616750224666
682.5000000000,99.99630814436551
685.0000000000,99.99644362530567
687.5000000000,99.99657413446820
690.0000000000,99.99669985430369
692.5000000000,99.99682096056722
695.0000000000,99.99693762256420
697.5000000000,99.99705000338699
700.0000000000,99.99715826014290
702.5000000000,99.99726254417379
705.0000000000,99.99736300126779
707.5000000000,99.99745977186291
710.0000000000,99.99755299124354
712.5000000000,99.99764278972947
715.0000000000,99.99772929285811
717.5000000000,99.99781262156002
720.0000000000,99.99789289232791
722.5000000000,99.99797021737956
725.0000000000,99.99804470481462
727.5000000000,99.99811645876584
730.0000000000,99.99818557954451
732.5000000000,99.99825216378086
735.0000000000,99.99831630455900
737.5000000000,99.99837809154711
740.0000000000,99.99843761112281
742.5000000000,99.99849494649389
745.0000000000,99.99855017781469
747.5000000000,99.99860338229810
750.0000000000,99.99865463432339
752.5000000000,99.99870400554042
755.0000000000,99.99875156496967
757.5000000000,99.99879737909875
760.0000000000,99.99884151197539
762.5000000000,99.99888402529693
765.0000000000,99.99892497849656
767.5000000000,99.99896442882650
770.0000000000,99.99900243143790
772.5000000000,99.99903903945807
775.0000000000,99.99907430406464
777.5000000000,99.99910827455720
780.0000000000,99.99914099842621
782.5000000000,99.99917252141927
785.0000000000,99.99920288760525
787.5000000000,99.99923213943579
790.0000000000,99.99926031780466
792.5000000000,99.99928746210493
795.0000000000,99.99931361028409
797.5000000000,99.99933879889704
800.0000000000,99.99936306315723
802.5000000000,99.99938643698587
805.0000000000,99.99940895305932
807.5000000000,99.99943064285483
