time,X008
107.0000000000,0.7569136315E-04
108.0000000000,0.8106080036E-04
109.0000000000,0.8671509052E-04
110.0000000000,0.9266351998E-04
111.0000000000,0.9891541439E-04
112.0000000000,0.1054801302E-03
113.0000000000,0.1123670461E-03
114.0000000000,0.1195855548E-03
115.0000000000,0.1271450545E-03
116.0000000000,0.1350549405E-03
117.0000000000,0.1433245976E-03
118.0000000000,0.1519633912E-03
119.0000000000,0.1609806603E-03
120.0000000000,0.1703857092E-03
121.0000000000,0.1801877997E-03
122.0000000000,0.1903961443E-03
123.0000000000,0.2010198981E-03
124.0000000000,0.2120681525E-03
125.0000000000,0.2235499275E-03
126.0000000000,0.2354741653E-03
127.0000000000,0.2478497239E-03
128.0000000000,0.2606853704E-03
129.0000000000,0.2739897750E-03
130.0000000000,0.2877715049E-03
131.0000000000,0.3020390189E-03
132.0000000000,0.3168006616E-03
133.0000000000,0.3320646580E-03
134.0000000000,0.3478391088E-03
135.0000000000,0.3641319850E-03
136.0000000000,0.3809511237E-03
137.0000000000,0.3983042233E-03
138.0000000000,0.4161988396E-03
139.0000000000,0.4346423814E-03
140.0000000000,0.4536421072E-03
141.0000000000,0.4732051212E-03
142.0000000000,0.4933383702E-03
143.0000000000,0.5140486401E-03
144.0000000000,0.5353425535E-03
145.0000000000,0.5572265665E-03
146.0000000000,0.5797069662E-03
147.0000000000,0.6027898688E-03
148.0000000000,0.6264812167E-03
149.0000000000,0.6507867773E-03
150.0000000000,0.6757121409E-03
151.0000000000,0.7012627189E-03
152.0000000000,0.7274437429E-03
153.0000000000,0.7542602631E-03
154.0000000000,0.7817171474E-03
155.0000000000,0.8098190803E-03
156.0000000000,0.8385705628E-03
157.0000000000,0.8679759110E-03
158.0000000000,0.8980392562E-03
159.0000000000,0.9287645448E-03
160.0000000000,0.9601555377E-03
161.0000000000,0.9922158106E-03
162.0000000000,0.1024948754E-02
163.0000000000,0.1058357575E-02
164.0000000000,0.1092445293E-02
165.0000000000,0.1127214749E-02
166.0000000000,0.1162668595E-02
167.0000000000,0.1198809304E-02
168.0000000000,0.1235639169E-02
169.0000000000,0.1273160298E-02
170.0000000000,0.1311374625E-02
171.0000000000,0.1350283901E-02
172.0000000000,0.1389889703E-02
173.0000000000,0.1430193432E-02
174.0000000000,0.1471196316E-02
175.0000000000,0.1512899408E-02
176.0000000000,0.1555303592E-02
177.0000000000,0.1598409582E-02
178.0000000000,0.1642217926E-02
179.0000000000,0.1686729004E-02
180.0000000000,0.1731943035E-02
181.0000000000,0.1777860075E-02
182.0000000000,0.1824480018E-02
183.0000000000,0.1871802604E-02
184.0000000000,0.1919827415E-02
185.0000000000,0.1968553880E-02
186.0000000000,0.2017981274E-02
187.0000000000,0.2068108727E-02
188.0000000000,0.2118935217E-02
189.0000000000,0.2170459579E-02
190.0000000000,0.2222680505E-02
191.0000000000,0.2275596544E-02
192.0000000000,0.2329206105E-02
193.0000000000,0.2383507462E-02
194.0000000000,0.2438498749E-02
195.0000000000,0.2494177970E-02
196.0000000000,0.2550542991E-02
197.0000000000,0.2607591550E-02
198.0000000000,0.2665321252E-02
199.0000000000,0.2723729570E-02
200.0000000000,0.2782813851E-02
201.0000000000,0.2842571310E-02
202.0000000000,0.2902999032E-02
203.0000000000,0.2964093973E-02
204.0000000000,0.3025852957E-02
205.0000000000,0.3088272675E-02
206.0000000000,0.3151349688E-02
207.0000000000,0.3215080418E-02
208.0000000000,0.3279461151E-02
209.0000000000,0.3344488033E-02
210.0000000000,0.3410157068E-02
211.0000000000,0.3476464111E-02
212.0000000000,0.3543404870E-02
213.0000000000,0.3610974899E-02
214.0000000000,0.3679169594E-02
215.0000000000,0.3747984190E-02
216.0000000000,0.3817413755E-02
217.0000000000,0.3887453185E-02
218.0000000000,0.3958097202E-02
219.0000000000,0.4029340345E-02
220.0000000000,0.4101176968E-02
221.0000000000,0.4173601235E-02
222.0000000000,0.4246607112E-02
223.0000000000,0.4320188365E-02
224.0000000000,0.4394338553E-02
225.0000000000,0.4469051024E-02
226.0000000000,0.4544318913E-02
227.0000000000,0.4620135132E-02
228.0000000000,0.4696492372E-02
229.0000000000,0.4773383094E-02
230.0000000000,0.4850799528E-02
231.0000000000,0.4928733671E-02
232.0000000000,0.5007177283E-02
233.0000000000,0.5086121881E-02
234.0000000000,0.5165558746E-02
235.0000000000,0.5245478910E-02
236.0000000000,0.5325873167E-02
237.0000000000,0.5406732061E-02
238.0000000000,0.5488045895E-02
239.0000000000,0.5569804726E-02
240.0000000000,0.5651998369E-02
241.0000000000,0.5734616396E-02
242.0000000000,0.5817648141E-02
243.0000000000,0.5901082698E-02
244.0000000000,0.5984908928E-02
245.0000000000,0.6069115461E-02
246.0000000000,0.6153690700E-02
247.0000000000,0.6238622824E-02
248.0000000000,0.6323899795E-02
249.0000000000,0.6409509362E-02
250.0000000000,0.6495439068E-02
251.0000000000,0.6581676253E-02
252.0000000000,0.6668208064E-02
253.0000000000,0.6755021460E-02
254.0000000000,0.6842103218E-02
255.0000000000,0.6929439945E-02
256.0000000000,0.7017018081E-02
257.0000000000,0.7104823907E-02
258.0000000000,0.7192843558E-02
259.0000000000,0.7281063026E-02
260.0000000000,0.7369468174E-02
261.0000000000,0.7458044739E-02
262.0000000000,0.7546778347E-02
263.0000000000,0.7635654517E-02
264.0000000000,0.7724658675E-02
265.0000000000,0.7813776159E-02
266.0000000000,0.7902992231E-02
267.0000000000,0.7992292088E-02
268.0000000000,0.8081660866E-02
269.0000000000,0.8171083656E-02
270.0000000000,0.8260545510E-02
271.0000000000,0.8350031449E-02
272.0000000000,0.8439526477E-02
273.0000000000,0.8529015587E-02
274.0000000000,0.8618483771E-02
275.0000000000,0.8707916029E-02
276.0000000000,0.8797297379E-02
277.0000000000,0.8886612866E-02
278.0000000000,0.8975847568E-02
279.0000000000,0.9064986609E-02
280.0000000000,0.9154015165E-02
281.0000000000,0.9242918473E-02
282.0000000000,0.9331681837E-02
283.0000000000,0.9420290640E-02
284.0000000000,0.9508730350E-02
285.0000000000,0.9596986524E-02
286.0000000000,0.9685044823E-02
287.0000000000,0.9772891012E-02
288.0000000000,0.9860510971E-02
289.0000000000,0.9947890700E-02
290.0000000000,0.1003501633E-01
291.0000000000,0.1012187411E-01
292.0000000000,0.1020845045E-01
293.0000000000,0.1029473189E-01
294.0000000000,0.1038070513E-01
295.0000000000,0.1046635702E-01
296.0000000000,0.1055167457E-01
297.0000000000,0.1063664497E-01
298.0000000000,0.1072125555E-01
299.0000000000,0.1080549385E-01
300.0000000000,0.1088934758E-01
301.0000000000,0.1097280461E-01
302.0000000000,0.1105585302E-01
303.0000000000,0.1113848108E-01
304.0000000000,0.1122067725E-01
305.0000000000,0.1130243018E-01
306.0000000000,0.1138372872E-01
307.0000000000,0.1146456194E-01
308.0000000000,0.1154491910E-01
309.0000000000,0.1162478967E-01
310.0000000000,0.1170416332E-01
311.0000000000,0.1178302994E-01
312.0000000000,0.1186137964E-01
313.0000000000,0.1193920272E-01
314.0000000000,0.1201648973E-01
315.0000000000,0.1209323141E-01
316.0000000000,0.1216941871E-01
317.0000000000,0.1224504283E-01
318.0000000000,0.1232009516E-01
319.0000000000,0.1239456732E-01
320.0000000000,0.1246845115E-01
321.0000000000,0.1254173871E-01
322.0000000000,0.1261442226E-01
323.0000000000,0.1268649432E-01
324.0000000000,0.1275794758E-01
325.0000000000,0.1282877498E-01
326.0000000000,0.1289896967E-01
327.0000000000,0.1296852502E-01
328.0000000000,0.1303743460E-01
329.0000000000,0.1310569222E-01
330.0000000000,0.1317329188E-01
331.0000000000,0.1324022781E-01
332.0000000000,0.1330649445E-01
333.0000000000,0.1337208644E-01
334.0000000000,0.1343699863E-01
335.0000000000,0.1350122608E-01
336.0000000000,0.1356476407E-01
337.0000000000,0.1362760807E-01
338.0000000000,0.1368975375E-01
339.0000000000,0.1375119698E-01
340.0000000000,0.1381193383E-01
341.0000000000,0.1387196058E-01
342.0000000000,0.1393127369E-01
343.0000000000,0.1398986982E-01
344.0000000000,0.1404774581E-01
345.0000000000,0.1410489869E-01
346.0000000000,0.1416132570E-01
347.0000000000,0.1421702423E-01
348.0000000000,0.1427199187E-01
349.0000000000,0.1432622638E-01
350.0000000000,0.1437972571E-01
351.0000000000,0.1443248797E-01
352.0000000000,0.1448451144E-01
353.0000000000,0.1453579460E-01
354.0000000000,0.1458633606E-01
355.0000000000,0.1463613460E-01
356.0000000000,0.1468518918E-01
357.0000000000,0.1473349891E-01
358.0000000000,0.1478106306E-01
359.0000000000,0.1482788104E-01
360.0000000000,0.1487395243E-01
361.0000000000,0.1491927695E-01
362.0000000000,0.1496385446E-01
363.0000000000,0.1500768498E-01
364.0000000000,0.1505076865E-01
365.0000000000,0.1509310578E-01
366.0000000000,0.1513469679E-01
367.0000000000,0.1517554224E-01
368.0000000000,0.1521564282E-01
369.0000000000,0.1525499935E-01
370.0000000000,0.1529361278E-01
371.0000000000,0.1533148418E-01
372.0000000000,0.1536861474E-01
373.0000000000,0.1540500576E-01
374.0000000000,0.1544065867E-01
375.0000000000,0.1547557502E-01
376.0000000000,0.1550975643E-01
377.0000000000,0.1554320468E-01
378.0000000000,0.1557592163E-01
379.0000000000,0.1560790923E-01
