,site,time,value
50,TRGW-2-2-15,3702.5,35.13769276
51,TRGW-2-2-15,3703.5,35.13820589
52,TRGW-2-2-15,3704.5,35.13796494
53,TRGW-2-2-15,3705.5,35.13799009
54,TRGW-2-2-15,3706.5,35.13915661
55,TRGW-2-2-15,3707.5,35.13994657
56,TRGW-2-2-15,3708.5,35.14053131
57,TRGW-2-2-15,3709.5,35.14257798
58,TRGW-2-2-15,3710.5,35.14276997
59,TRGW-2-2-15,3711.5,35.14185517
60,TRGW-2-2-15,3712.5,35.14300656
61,TRGW-2-2-15,3713.5,35.14215659
62,TRGW-2-2-15,3714.5,35.14410723
63,TRGW-2-2-15,3715.5,35.14600194
64,TRGW-2-2-15,3716.5,35.14784421
65,TRGW-2-2-15,3717.5,35.14770679
66,TRGW-2-2-15,3718.5,35.14719758
67,TRGW-2-2-15,3719.5,35.14868621
68,TRGW-2-2-15,3720.5,35.14984272
69,TRGW-2-2-15,3721.5,35.15252755
70,TRGW-2-2-15,3722.5,35.15310273
71,TRGW-2-2-15,3723.5,35.15650756
72,TRGW-2-2-15,3724.5,35.15854763
73,TRGW-2-2-15,3725.5,35.15872955
74,TRGW-2-2-15,3726.5,35.16193416
75,TRGW-2-2-15,3727.5,35.16339642
76,TRGW-2-2-15,3728.5,35.16243722
77,TRGW-2-2-15,3729.5,35.16312769
78,TRGW-2-2-15,3730.5,35.16440368
79,TRGW-2-2-15,3731.5,35.16446826
80,TRGW-2-2-15,3732.5,35.16434444
81,TRGW-2-2-15,3733.5,35.16607253
82,TRGW-2-2-15,3734.5,35.16590104
83,TRGW-2-2-15,3735.5,35.16586071
84,TRGW-2-2-15,3736.5,35.16611143
85,TRGW-2-2-15,3737.5,35.16774274
86,TRGW-2-2-15,3738.5,35.17019998
87,TRGW-2-2-15,3739.5,35.17299186
88,TRGW-2-2-15,3740.5,35.17530807
89,TRGW-2-2-15,3741.5,35.17516961
90,TRGW-2-2-15,3742.5,35.17787023
91,TRGW-2-2-15,3743.5,35.17902489
92,TRGW-2-2-15,3744.5,35.18270992
93,TRGW-2-2-15,3745.5,35.18340417
94,TRGW-2-2-15,3746.5,35.18337026
95,TRGW-2-2-15,3747.5,35.186835
96,TRGW-2-2-15,3748.5,35.18752684
97,TRGW-2-2-15,3749.5,35.19195777
98,TRGW-2-2-15,3750.5,35.19220306
99,TRGW-2-2-15,3751.5,35.1952649
100,TRGW-2-2-15,3752.5,35.19833014
101,TRGW-2-2-15,3753.5,35.1985493
102,TRGW-2-2-15,3754.5,35.20172716
103,TRGW-2-2-15,3755.5,35.20233936
104,TRGW-2-2-15,3756.5,35.20201084
105,TRGW-2-2-15,3757.5,35.20405089
106,TRGW-2-2-15,3758.5,35.2057713
107,TRGW-2-2-15,3759.5,35.20938035
108,TRGW-2-2-15,3760.5,35.21054414
109,TRGW-2-2-15,3761.5,35.21224985
110,TRGW-2-2-15,3762.5,35.21508661
111,TRGW-2-2-15,3763.5,35.21702315
112,TRGW-2-2-15,3764.5,35.21786915
113,TRGW-2-2-15,3765.5,35.2206688
114,TRGW-2-2-15,3766.5,35.22240679
115,TRGW-2-2-15,3767.5,35.22394801
116,TRGW-2-2-15,3768.5,35.22850858
117,TRGW-2-2-15,3769.5,35.2306495
118,TRGW-2-2-15,3770.5,35.2322249
119,TRGW-2-2-15,3771.5,35.23652523
120,TRGW-2-2-15,3772.5,35.239599
121,TRGW-2-2-15,3773.5,35.23906817
122,TRGW-2-2-15,3774.5,35.23893936
123,TRGW-2-2-15,3775.5,35.24050258
124,TRGW-2-2-15,3776.5,35.24318151
125,TRGW-2-2-15,3777.5,35.24419546
126,TRGW-2-2-15,3778.5,35.2467638
127,TRGW-2-2-15,3779.5,35.24834324
128,TRGW-2-2-15,3780.5,35.24845358
129,TRGW-2-2-15,3781.5,35.25071374
130,TRGW-2-2-15,3782.5,35.25416609
131,TRGW-2-2-15,3783.5,35.2557453
132,TRGW-2-2-15,3784.5,35.26151153
133,TRGW-2-2-15,3785.5,35.26338379
134,TRGW-2-2-15,3786.5,35.26420276
135,TRGW-2-2-15,3787.5,35.26716927
136,TRGW-2-2-15,3788.5,35.26881849
137,TRGW-2-2-15,3789.5,35.2698285
138,TRGW-2-2-15,3790.5,35.27222438
139,TRGW-2-2-15,3791.5,35.27607549
140,TRGW-2-2-15,3792.5,35.27601241
141,TRGW-2-2-15,3793.5,35.27739765
142,TRGW-2-2-15,3794.5,35.28006486
143,TRGW-2-2-15,3795.5,35.28016825
144,TRGW-2-2-15,3796.5,35.28048054
145,TRGW-2-2-15,3797.5,35.28132184
146,TRGW-2-2-15,3798.5,35.28104707
147,TRGW-2-2-15,3799.5,35.28561581
148,TRGW-2-2-15,3800.5,35.28648156
149,TRGW-2-2-15,3801.5,35.28690255
150,TRGW-2-2-15,3802.5,35.28790802
151,TRGW-2-2-15,3803.5,35.28914277
152,TRGW-2-2-15,3804.5,35.29003266
153,TRGW-2-2-15,3805.5,35.29108352
154,TRGW-2-2-15,3806.5,35.29196393
155,TRGW-2-2-15,3807.5,35.29695013
156,TRGW-2-2-15,3808.5,35.29757281
157,TRGW-2-2-15,3809.5,35.29933185
158,TRGW-2-2-15,3810.5,35.30092167
159,TRGW-2-2-15,3811.5,35.30127925
160,TRGW-2-2-15,3812.5,35.30438333
161,TRGW-2-2-15,3813.5,35.30530189
162,TRGW-2-2-15,3814.5,35.3073506
163,TRGW-2-2-15,3815.5,35.30743763
164,TRGW-2-2-15,3816.5,35.30893027
165,TRGW-2-2-15,3817.5,35.30981466
166,TRGW-2-2-15,3818.5,35.31092411
167,TRGW-2-2-15,3819.5,35.31320585
168,TRGW-2-2-15,3820.5,35.31293188
169,TRGW-2-2-15,3821.5,35.31290257
170,TRGW-2-2-15,3822.5,35.31408073
171,TRGW-2-2-15,3823.5,35.31428888
172,TRGW-2-2-15,3824.5,35.31411575
173,TRGW-2-2-15,3825.5,35.31644891
174,TRGW-2-2-15,3826.5,35.31516732
175,TRGW-2-2-15,3827.5,35.31373667
176,TRGW-2-2-15,3828.5,35.31356385
177,TRGW-2-2-15,3829.5,35.31268875
178,TRGW-2-2-15,3830.5,35.31388815
179,TRGW-2-2-15,3831.5,35.31208319
180,TRGW-2-2-15,3832.5,35.31112143
181,TRGW-2-2-15,3833.5,35.31060243
182,TRGW-2-2-15,3834.5,35.30947427
183,TRGW-2-2-15,3835.5,35.31247627
184,TRGW-2-2-15,3836.5,35.31017556
185,TRGW-2-2-15,3837.5,35.30839484
186,TRGW-2-2-15,3838.5,35.3075036
187,TRGW-2-2-15,3839.5,35.30888297
188,TRGW-2-2-15,3840.5,35.30876344
189,TRGW-2-2-15,3841.5,35.30861597
190,TRGW-2-2-15,3842.5,35.30903201
191,TRGW-2-2-15,3843.5,35.30772816
192,TRGW-2-2-15,3844.5,35.30830268
193,TRGW-2-2-15,3845.5,35.30898233
194,TRGW-2-2-15,3846.5,35.30844571
195,TRGW-2-2-15,3847.5,35.30791791
196,TRGW-2-2-15,3848.5,35.30593294
197,TRGW-2-2-15,3849.5,35.30564514
198,TRGW-2-2-15,3850.5,35.30492163
199,TRGW-2-2-15,3851.5,35.30257368
200,TRGW-2-2-15,3852.5,35.30138937
201,TRGW-2-2-15,3853.5,35.30044059
202,TRGW-2-2-15,3854.5,35.30019807
203,TRGW-2-2-15,3855.5,35.29874349
204,TRGW-2-2-15,3856.5,35.29669412
205,TRGW-2-2-15,3857.5,35.29474449
206,TRGW-2-2-15,3858.5,35.29421688
207,TRGW-2-2-15,3859.5,35.29325862
208,TRGW-2-2-15,3860.5,35.29158759
209,TRGW-2-2-15,3861.5,35.29036702
210,TRGW-2-2-15,3862.5,35.28914346
211,TRGW-2-2-15,3863.5,35.28631359
212,TRGW-2-2-15,3864.5,35.28539513
213,TRGW-2-2-15,3865.5,35.28341123
214,TRGW-2-2-15,3866.5,35.28352345
215,TRGW-2-2-15,3867.5,35.28391926
216,TRGW-2-2-15,3868.5,35.28214572
217,TRGW-2-2-15,3869.5,35.2791598
218,TRGW-2-2-15,3870.5,35.2769224
219,TRGW-2-2-15,3871.5,35.27525548
220,TRGW-2-2-15,3872.5,35.27447452
221,TRGW-2-2-15,3873.5,35.27273134
222,TRGW-2-2-15,3874.5,35.27060174
223,TRGW-2-2-15,3875.5,35.26838402
224,TRGW-2-2-15,3876.5,35.26760689
225,TRGW-2-2-15,3877.5,35.26548151
226,TRGW-2-2-15,3878.5,35.26401968
227,TRGW-2-2-15,3879.5,35.26239313
228,TRGW-2-2-15,3880.5,35.26024222
229,TRGW-2-2-15,3881.5,35.25877824
230,TRGW-2-2-15,3882.5,35.25735677
231,TRGW-2-2-15,3883.5,35.25656398
232,TRGW-2-2-15,3884.5,35.25479185
233,TRGW-2-2-15,3885.5,35.25355945
234,TRGW-2-2-15,3886.5,35.25221069
235,TRGW-2-2-15,3887.5,35.24997521
236,TRGW-2-2-15,3888.5,35.24861648
237,TRGW-2-2-15,3889.5,35.24601111
238,TRGW-2-2-15,3890.5,35.24414998
239,TRGW-2-2-15,3891.5,35.24096181
240,TRGW-2-2-15,3892.5,35.23948665
241,TRGW-2-2-15,3893.5,35.23785724
242,TRGW-2-2-15,3894.5,35.23681128
243,TRGW-2-2-15,3895.5,35.23510697
244,TRGW-2-2-15,3896.5,35.23238817
245,TRGW-2-2-15,3897.5,35.22962217
246,TRGW-2-2-15,3898.5,35.22722978
247,TRGW-2-2-15,3899.5,35.22466072
248,TRGW-2-2-15,3900.5,35.22208185
249,TRGW-2-2-15,3901.5,35.21961901
250,TRGW-2-2-15,3902.5,35.21712042
251,TRGW-2-2-15,3903.5,35.21442561
252,TRGW-2-2-15,3904.5,35.21188359
253,TRGW-2-2-15,3905.5,35.2090853
254,TRGW-2-2-15,3906.5,35.20702227
255,TRGW-2-2-15,3907.5,35.20445996
256,TRGW-2-2-15,3908.5,35.20195317
257,TRGW-2-2-15,3909.5,35.19929936
258,TRGW-2-2-15,3910.5,35.19639435
259,TRGW-2-2-15,3911.5,35.19359885
260,TRGW-2-2-15,3912.5,35.19107819
261,TRGW-2-2-15,3913.5,35.18823833
262,TRGW-2-2-15,3914.5,35.18569145
263,TRGW-2-2-15,3915.5,35.18285992
264,TRGW-2-2-15,3916.5,35.18008146
265,TRGW-2-2-15,3917.5,35.17730026
266,TRGW-2-2-15,3918.5,35.1745685
267,TRGW-2-2-15,3919.5,35.17181589
268,TRGW-2-2-15,3920.5,35.16907334
269,TRGW-2-2-15,3921.5,35.16639109
270,TRGW-2-2-15,3922.5,35.16367712
271,TRGW-2-2-15,3923.5,35.16105193
272,TRGW-2-2-15,3924.5,35.15836633
273,TRGW-2-2-15,3925.5,35.15568712
274,TRGW-2-2-15,3926.5,35.15301275
275,TRGW-2-2-15,3927.5,35.15034022
276,TRGW-2-2-15,3928.5,35.1476733
277,TRGW-2-2-15,3929.5,35.14500978
278,TRGW-2-2-15,3930.5,35.142347
279,TRGW-2-2-15,3931.5,35.13968251
280,TRGW-2-2-15,3932.5,35.13701738
281,TRGW-2-2-15,3933.5,35.13435161
282,TRGW-2-2-15,3934.5,35.13169062
283,TRGW-2-2-15,3935.5,35.12903503
284,TRGW-2-2-15,3936.5,35.12638651
285,TRGW-2-2-15,3937.5,35.12374612
286,TRGW-2-2-15,3938.5,35.12111677
287,TRGW-2-2-15,3939.5,35.1184989
288,TRGW-2-2-15,3940.5,35.115893
289,TRGW-2-2-15,3941.5,35.11329662
290,TRGW-2-2-15,3942.5,35.11071524
291,TRGW-2-2-15,3943.5,35.10815035
292,TRGW-2-2-15,3944.5,35.1056024
293,TRGW-2-2-15,3945.5,35.10307059
294,TRGW-2-2-15,3946.5,35.10055401
295,TRGW-2-2-15,3947.5,35.09805149
296,TRGW-2-2-15,3948.5,35.09556166
297,TRGW-2-2-15,3949.5,35.09308411
298,TRGW-2-2-15,3950.5,35.09061821
299,TRGW-2-2-15,3951.5,35.08816336
300,TRGW-2-2-15,3952.5,35.08571893
301,TRGW-2-2-15,3953.5,35.08328392
302,TRGW-2-2-15,3954.5,35.08085812
303,TRGW-2-2-15,3955.5,35.07844082
304,TRGW-2-2-15,3956.5,35.07603162
305,TRGW-2-2-15,3957.5,35.07362988
306,TRGW-2-2-15,3958.5,35.07123426
307,TRGW-2-2-15,3959.5,35.06884273
308,TRGW-2-2-15,3960.5,35.06645351
309,TRGW-2-2-15,3961.5,35.0640641
310,TRGW-2-2-15,3962.5,35.06167332
311,TRGW-2-2-15,3963.5,35.05928111
312,TRGW-2-2-15,3964.5,35.05688782
313,TRGW-2-2-15,3965.5,35.05449419
314,TRGW-2-2-15,3966.5,35.05210054
315,TRGW-2-2-15,3967.5,35.04970667
316,TRGW-2-2-15,3968.5,35.04731263
317,TRGW-2-2-15,3969.5,35.04491888
318,TRGW-2-2-15,3970.5,35.04252717
319,TRGW-2-2-15,3971.5,35.04014082
320,TRGW-2-2-15,3972.5,35.03776239
321,TRGW-2-2-15,3973.5,35.0353931
322,TRGW-2-2-15,3974.5,35.03303606
323,TRGW-2-2-15,3975.5,35.030688
324,TRGW-2-2-15,3976.5,35.02835254
325,TRGW-2-2-15,3977.5,35.02602946
326,TRGW-2-2-15,3978.5,35.02371845
327,TRGW-2-2-15,3979.5,35.02141897
328,TRGW-2-2-15,3980.5,35.01912989
329,TRGW-2-2-15,3981.5,35.01685107
330,TRGW-2-2-15,3982.5,35.01458166
331,TRGW-2-2-15,3983.5,35.01232109
332,TRGW-2-2-15,3984.5,35.010069
333,TRGW-2-2-15,3985.5,35.00782496
334,TRGW-2-2-15,3986.5,35.00558818
335,TRGW-2-2-15,3987.5,35.00335848
336,TRGW-2-2-15,3988.5,35.00113555
337,TRGW-2-2-15,3989.5,34.99891956
338,TRGW-2-2-15,3990.5,34.99671119
339,TRGW-2-2-15,3991.5,34.99451066
340,TRGW-2-2-15,3992.5,34.99232348
341,TRGW-2-2-15,3993.5,34.99014535
342,TRGW-2-2-15,3994.5,34.98797979
343,TRGW-2-2-15,3995.5,34.98582898
344,TRGW-2-2-15,3996.5,34.98369208
345,TRGW-2-2-15,3997.5,34.98156841
346,TRGW-2-2-15,3998.5,34.9794602
347,TRGW-2-2-15,3999.5,34.9773872
348,TRGW-2-2-15,4000.5,34.97532417
349,TRGW-2-2-15,4001.5,34.97327417
350,TRGW-2-2-15,4002.5,34.9712402
351,TRGW-2-2-15,4003.5,34.96921885
352,TRGW-2-2-15,4004.5,34.96721257
353,TRGW-2-2-15,4005.5,34.96528195
354,TRGW-2-2-15,4006.5,34.96332957
355,TRGW-2-2-15,4007.5,34.96169041
356,TRGW-2-2-15,4008.5,34.95984721
357,TRGW-2-2-15,4009.5,34.95790462
358,TRGW-2-2-15,4010.5,34.95600337
359,TRGW-2-2-15,4011.5,34.95413871
360,TRGW-2-2-15,4012.5,34.95288104
361,TRGW-2-2-15,4013.5,34.95166341
362,TRGW-2-2-15,4014.5,34.95035536
363,TRGW-2-2-15,4015.5,34.94838814
364,TRGW-2-2-15,4016.5,34.94685545
365,TRGW-2-2-15,4017.5,34.94505937
366,TRGW-2-2-15,4018.5,34.94319626
367,TRGW-2-2-15,4019.5,34.94164176
368,TRGW-2-2-15,4020.5,34.93982559
369,TRGW-2-2-15,4021.5,34.93797809
370,TRGW-2-2-15,4022.5,34.93675209
371,TRGW-2-2-15,4023.5,34.93567069
372,TRGW-2-2-15,4024.5,34.93425896
373,TRGW-2-2-15,4025.5,34.93309283
374,TRGW-2-2-15,4026.5,34.93169901
375,TRGW-2-2-15,4027.5,34.93070028
376,TRGW-2-2-15,4028.5,34.93035349
377,TRGW-2-2-15,4029.5,34.930424
378,TRGW-2-2-15,4030.5,34.92882332
379,TRGW-2-2-15,4031.5,34.92769426
380,TRGW-2-2-15,4032.5,34.92637597
381,TRGW-2-2-15,4033.5,34.92537402
382,TRGW-2-2-15,4034.5,34.92475942
383,TRGW-2-2-15,4035.5,34.92480385
384,TRGW-2-2-15,4036.5,34.92522748
385,TRGW-2-2-15,4037.5,34.92416371
386,TRGW-2-2-15,4038.5,34.92461907
387,TRGW-2-2-15,4039.5,34.92489852
388,TRGW-2-2-15,4040.5,34.92384257
389,TRGW-2-2-15,4041.5,34.92395776
390,TRGW-2-2-15,4042.5,34.9242975
391,TRGW-2-2-15,4043.5,34.92473435
392,TRGW-2-2-15,4044.5,34.92457159
393,TRGW-2-2-15,4045.5,34.92390468
394,TRGW-2-2-15,4046.5,34.92340196
395,TRGW-2-2-15,4047.5,34.92429161
396,TRGW-2-2-15,4048.5,34.92402084
397,TRGW-2-2-15,4049.5,34.92339893
398,TRGW-2-2-15,4050.5,34.92527099
399,TRGW-2-2-15,4051.5,34.92565779
400,TRGW-2-2-15,4052.5,34.92706806
401,TRGW-2-2-15,4053.5,34.9267442
402,TRGW-2-2-15,4054.5,34.92888661
403,TRGW-2-2-15,4055.5,34.92894808
404,TRGW-2-2-15,4056.5,34.92875183
405,TRGW-2-2-15,4057.5,34.92917653
406,TRGW-2-2-15,4058.5,34.92884676
407,TRGW-2-2-15,4059.5,34.92836156
408,TRGW-2-2-15,4060.5,34.93089528
409,TRGW-2-2-15,4061.5,34.93140369
410,TRGW-2-2-15,4062.5,34.93249612
411,TRGW-2-2-15,4063.5,34.93435683
412,TRGW-2-2-15,4064.5,34.93633417
413,TRGW-2-2-15,4065.5,34.93753002
414,TRGW-2-2-15,4066.5,34.93838589
415,TRGW-2-2-15,4067.5,34.94113158
416,TRGW-2-2-15,4068.5,34.94315657
417,TRGW-2-2-15,4069.5,34.94603235
418,TRGW-2-2-15,4070.5,34.94844467
419,TRGW-2-2-15,4071.5,34.94930916
420,TRGW-2-2-15,4072.5,34.95089676
421,TRGW-2-2-15,4073.5,34.9511646
422,TRGW-2-2-15,4074.5,34.95364217
423,TRGW-2-2-15,4075.5,34.95515969
424,TRGW-2-2-15,4076.5,34.95725438
425,TRGW-2-2-15,4077.5,34.95798814
426,TRGW-2-2-15,4078.5,34.95926256
427,TRGW-2-2-15,4079.5,34.9603521
428,TRGW-2-2-15,4080.5,34.96317589
429,TRGW-2-2-15,4081.5,34.96589704
430,TRGW-2-2-15,4082.5,34.96669305
431,TRGW-2-2-15,4083.5,34.96911291
432,TRGW-2-2-15,4084.5,34.97130466
433,TRGW-2-2-15,4085.5,34.97195675
434,TRGW-2-2-15,4086.5,34.9743866
435,TRGW-2-2-15,4087.5,34.97683923
436,TRGW-2-2-15,4088.5,34.9791195
437,TRGW-2-2-15,4089.5,34.98098187
438,TRGW-2-2-15,4090.5,34.98128214
439,TRGW-2-2-15,4091.5,34.98281999
440,TRGW-2-2-15,4092.5,34.98708943
441,TRGW-2-2-15,4093.5,34.98974325
442,TRGW-2-2-15,4094.5,34.99158234
443,TRGW-2-2-15,4095.5,34.99412815
444,TRGW-2-2-15,4096.5,34.99548231
445,TRGW-2-2-15,4097.5,35.00031335
446,TRGW-2-2-15,4098.5,35.00170269
447,TRGW-2-2-15,4099.5,35.00398764
448,TRGW-2-2-15,4100.5,35.00944648
449,TRGW-2-2-15,4101.5,35.01061698
450,TRGW-2-2-15,4102.5,35.01190135
451,TRGW-2-2-15,4103.5,35.01565633
452,TRGW-2-2-15,4104.5,35.01841732
453,TRGW-2-2-15,4105.5,35.020106
454,TRGW-2-2-15,4106.5,35.02218343
455,TRGW-2-2-15,4107.5,35.02514414
456,TRGW-2-2-15,4108.5,35.02868074
457,TRGW-2-2-15,4109.5,35.030587
458,TRGW-2-2-15,4110.5,35.03167396
459,TRGW-2-2-15,4111.5,35.03176398
460,TRGW-2-2-15,4112.5,35.03355598
461,TRGW-2-2-15,4113.5,35.03787896
462,TRGW-2-2-15,4114.5,35.0396399
463,TRGW-2-2-15,4115.5,35.0423552
464,TRGW-2-2-15,4116.5,35.04450097
465,TRGW-2-2-15,4117.5,35.04720071
466,TRGW-2-2-15,4118.5,35.05331726
467,TRGW-2-2-15,4119.5,35.05504918
468,TRGW-2-2-15,4120.5,35.05700259
469,TRGW-2-2-15,4121.5,35.05878162
470,TRGW-2-2-15,4122.5,35.06325464
471,TRGW-2-2-15,4123.5,35.06543584
472,TRGW-2-2-15,4124.5,35.07013336
473,TRGW-2-2-15,4125.5,35.07282837
474,TRGW-2-2-15,4126.5,35.07529622
475,TRGW-2-2-15,4127.5,35.0768064
476,TRGW-2-2-15,4128.5,35.07799229
477,TRGW-2-2-15,4129.5,35.08050151
478,TRGW-2-2-15,4130.5,35.08362063
479,TRGW-2-2-15,4131.5,35.08551359
480,TRGW-2-2-15,4132.5,35.08856488
481,TRGW-2-2-15,4133.5,35.09159909
482,TRGW-2-2-15,4134.5,35.09470821
483,TRGW-2-2-15,4135.5,35.09815173
484,TRGW-2-2-15,4136.5,35.10066564
485,TRGW-2-2-15,4137.5,35.10396316
486,TRGW-2-2-15,4138.5,35.10366519
487,TRGW-2-2-15,4139.5,35.10806204
488,TRGW-2-2-15,4140.5,35.11027407
489,TRGW-2-2-15,4141.5,35.11264721
490,TRGW-2-2-15,4142.5,35.11475881
491,TRGW-2-2-15,4143.5,35.11625341
492,TRGW-2-2-15,4144.5,35.11893162
493,TRGW-2-2-15,4145.5,35.12156834
494,TRGW-2-2-15,4146.5,35.12508346
495,TRGW-2-2-15,4147.5,35.12671542
496,TRGW-2-2-15,4148.5,35.12891362
497,TRGW-2-2-15,4149.5,35.13288326
498,TRGW-2-2-15,4150.5,35.13234913
499,TRGW-2-2-15,4151.5,35.13756091
500,TRGW-2-2-15,4152.5,35.13833175
501,TRGW-2-2-15,4153.5,35.13930548
502,TRGW-2-2-15,4154.5,35.14096213
503,TRGW-2-2-15,4155.5,35.14439219
504,TRGW-2-2-15,4156.5,35.14610491
505,TRGW-2-2-15,4157.5,35.14891439
506,TRGW-2-2-15,4158.5,35.15013032
507,TRGW-2-2-15,4159.5,35.1504254
508,TRGW-2-2-15,4160.5,35.15645598
509,TRGW-2-2-15,4161.5,35.15824743
510,TRGW-2-2-15,4162.5,35.1605356
511,TRGW-2-2-15,4163.5,35.16341533
512,TRGW-2-2-15,4164.5,35.1638301
513,TRGW-2-2-15,4165.5,35.16824883
514,TRGW-2-2-15,4166.5,35.1689959
515,TRGW-2-2-15,4167.5,35.17182354
516,TRGW-2-2-15,4168.5,35.17216736
517,TRGW-2-2-15,4169.5,35.17632024
518,TRGW-2-2-15,4170.5,35.17734439
519,TRGW-2-2-15,4171.5,35.18050033
520,TRGW-2-2-15,4172.5,35.18542511
521,TRGW-2-2-15,4173.5,35.18762745
522,TRGW-2-2-15,4174.5,35.18858582
523,TRGW-2-2-15,4175.5,35.18956766
524,TRGW-2-2-15,4176.5,35.19407061
525,TRGW-2-2-15,4177.5,35.19674584
526,TRGW-2-2-15,4178.5,35.1961073
527,TRGW-2-2-15,4179.5,35.19919212
528,TRGW-2-2-15,4180.5,35.19878527
529,TRGW-2-2-15,4181.5,35.19822902
530,TRGW-2-2-15,4182.5,35.19750424
531,TRGW-2-2-15,4183.5,35.20080024
532,TRGW-2-2-15,4184.5,35.20323611
533,TRGW-2-2-15,4185.5,35.20344015
534,TRGW-2-2-15,4186.5,35.20309888
535,TRGW-2-2-15,4187.5,35.2035472
536,TRGW-2-2-15,4188.5,35.20371727
537,TRGW-2-2-15,4189.5,35.20379622
538,TRGW-2-2-15,4190.5,35.20439321
539,TRGW-2-2-15,4191.5,35.20380291
540,TRGW-2-2-15,4192.5,35.20521038
541,TRGW-2-2-15,4193.5,35.20621129
542,TRGW-2-2-15,4194.5,35.20560712
543,TRGW-2-2-15,4195.5,35.20790147
544,TRGW-2-2-15,4196.5,35.20919622
545,TRGW-2-2-15,4197.5,35.20849309
546,TRGW-2-2-15,4198.5,35.2086085
547,TRGW-2-2-15,4199.5,35.21213442
548,TRGW-2-2-15,4200.5,35.21460317
549,TRGW-2-2-15,4201.5,35.21529417
550,TRGW-2-2-15,4202.5,35.21608215
551,TRGW-2-2-15,4203.5,35.21697685
552,TRGW-2-2-15,4204.5,35.21887007
553,TRGW-2-2-15,4205.5,35.22002581
554,TRGW-2-2-15,4206.5,35.22148984
555,TRGW-2-2-15,4207.5,35.22137835
556,TRGW-2-2-15,4208.5,35.22097868
557,TRGW-2-2-15,4209.5,35.22126963
558,TRGW-2-2-15,4210.5,35.21938017
559,TRGW-2-2-15,4211.5,35.219488
560,TRGW-2-2-15,4212.5,35.21976128
561,TRGW-2-2-15,4213.5,35.21819859
562,TRGW-2-2-15,4214.5,35.21849614
563,TRGW-2-2-15,4215.5,35.21844285
564,TRGW-2-2-15,4216.5,35.21894262
565,TRGW-2-2-15,4217.5,35.21794897
566,TRGW-2-2-15,4218.5,35.21562328
567,TRGW-2-2-15,4219.5,35.21808312
568,TRGW-2-2-15,4220.5,35.21784951
569,TRGW-2-2-15,4221.5,35.21591163
570,TRGW-2-2-15,4222.5,35.21483264
571,TRGW-2-2-15,4223.5,35.21461961
572,TRGW-2-2-15,4224.5,35.21506233
573,TRGW-2-2-15,4225.5,35.214729
574,TRGW-2-2-15,4226.5,35.21644695
575,TRGW-2-2-15,4227.5,35.21441734
576,TRGW-2-2-15,4228.5,35.21197154
577,TRGW-2-2-15,4229.5,35.21038657
578,TRGW-2-2-15,4230.5,35.2095892
579,TRGW-2-2-15,4231.5,35.20945987
580,TRGW-2-2-15,4232.5,35.20756823
581,TRGW-2-2-15,4233.5,35.20629739
582,TRGW-2-2-15,4234.5,35.20380172
