time,elapsed_seconds,message
08:22:23,9.7e-06,triming REDSVD components to 1elements
08:22:23,8.5e-06,done REDSVD
08:22:23,7.5e-06,SVD factorization complete
08:22:23,7.11e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.03e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.9e-06,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.8e-06,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.15e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.19e-05,commencing check of parameter bounds and gradients
08:22:23,1.12e-05,commencing calculation of upgrade vector
08:22:23,0.0004334,forming JtQJ matrix
08:22:23,1.57e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.2e-06,starting REDSVD
08:22:23,1.23e-05,retrieving REDSVD components
08:22:23,1.06e-05,triming REDSVD components to 1elements
08:22:23,8.3e-06,done REDSVD
08:22:23,1.2e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.8e-06,JS
08:22:23,8.6e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.55e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.5e-06,starting REDSVD
08:22:23,1.19e-05,retrieving REDSVD components
08:22:23,9.8e-06,triming REDSVD components to 1elements
08:22:23,8e-06,done REDSVD
08:22:23,4.73e-05,SVD factorization complete
08:22:23,7.65e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.06e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.9e-06,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.9e-06,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.13e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.2e-05,commencing check of parameter bounds
08:22:23,8.4e-06,limiting out of bounds pars
08:22:23,1.44e-05,change limit/bound enforement for lambda 1000: ,, scaling factor: 1
08:22:23,7.9e-06,checking for denormal floating point values
08:22:23,9e-06,transforming upgrade pars to model pars
08:22:23,9.9e-06,writing upgrade vector to csv file
08:22:23,0.0007148,LinearAnalysis::glm_iter_fosm
08:22:23,0.0002364,starting FOSM uncertainty analyses for iteration 0
08:22:23,0.0046745,loading obscov
08:22:23,0.0001935,loading parcov
08:22:23,4.42e-05,setting predictions
08:22:23,1.72e-05,set_predictions
08:22:23,0.0001126,extracting prediction HEADWATER:4383.5 from jacobian
08:22:23,0.0006336,extracting prediction TAILWATER:4383.5 from jacobian
08:22:23,0.000523,extracting prediction TRGW-0-9-1:4383.5 from jacobian
08:22:23,0.0005584,extracting prediction PART_TIME from jacobian
08:22:23,0.000535,parameter fosm calcs
08:22:23,1.93e-05,LinearAnalysis::calc_posterior
08:22:23,9.5e-06,LinearAnalysis::align
08:22:23,0.0006877,LinearAnalysis::prior_prediction_variance()::invert obscov
08:22:23,1.36e-05,inverting diagonal matrix in place
08:22:23,2.33e-05,LinearAnalysis::calc_posterior() form JtQJ
08:22:23,0.0001046,LinearAnalysis::calc_posterior() invert prior parcov
