obsnme,obsval,weight,obgnme,datetime,oname,otype,usecol
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-01-02,-724.7188602769991,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-01-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-02-02,-867.901916435975,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-02-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-03-02,-1101.724491914208,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-03-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-04-02,-1375.523161773782,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-04-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-05-02,-1581.861774455422,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-05-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-06-02,-1675.595842464744,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-06-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-07-02,-1619.813790877721,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-07-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-08-02,-1420.530750100953,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-08-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-09-02,-1140.337823570166,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-09-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-10-02,-857.6706294142672,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-10-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-11-02,-637.2702105547736,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-11-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-12-02,-543.8020937192052,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-12-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-01-02,-597.7849981943938,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-01-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-02-02,-784.159532964157,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-02-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-03-02,-1036.675755434394,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-03-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-04-02,-1329.329497110487,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-04-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-05-02,-1550.108483585977,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-05-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-06-02,-1649.809992574058,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-06-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-07-02,-1597.311908720023,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-07-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-08-02,-1401.606106047797,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-08-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-09-02,-1123.745056530901,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-09-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-10-02,-843.5368195095139,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-10-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-11-02,-626.7383115070091,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-11-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-12-02,-536.8173140382559,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-12-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2022-01-02,-658.4789506685659,1.0,oname:sfr_otype:lst_usecol:tailwater,2022-01-02,sfr,lst,tailwater
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-01-02,34.48388768,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-02-02,34.59632183,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-03-02,34.77943418,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-04-02,34.99758788,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-05-02,35.17617839,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-06-02,35.27077707,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-06-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-07-02,35.24887025,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-08-02,35.11227844,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-08-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-09-02,34.89948388,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-09-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-10-02,34.67321034,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-10-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-11-02,34.48227554,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-11-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2020-12-02,34.38797541,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2020-12-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-01-02,34.41128206,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-02-02,34.54406167,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-03-02,34.73478684,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-04-02,34.96639241,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-05-02,35.15122868,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-06-02,35.24984792,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-06-02,hds,lst,trgw
