X	Y	10_Bott_L2	
1518915.540591	5034092.0161779	44.671966552734	
1518966.0445825	5034104.6082372	44.575771331787	
1519016.5485741	5034117.2002966	44.491905212402	
1519067.0525656	5034129.7923559	44.409748077393	
1519117.5565571	5034142.3844153	44.352451324463	
1519168.0605487	5034154.9764746	44.312919616699	
1519218.5645402	5034167.568534	44.295310974121	
1519269.0685318	5034180.1605933	44.284748077393	
1519319.5725233	5034192.7526527	44.314033508301	
1519370.0765148	5034205.344712	44.366374969482	
1519420.5805064	5034217.9367713	44.439651489258	
1519471.0844979	5034230.5288307	44.534042358398	
1519521.5884894	5034243.12089	44.645133972168	
1519572.092481	5034255.7129494	44.77286529541	
1519622.5964725	5034268.3050087	44.912418365479	
1519673.100464	5034280.8970681	45.031631469727	
1519723.6044556	5034293.4891274	45.176692962646	
1519774.1084471	5034306.0811868	45.327033996582	
1519824.6124386	5034318.6732461	45.486576080322	
1519875.1164302	5034331.2653055	45.632972717285	
1519925.6204217	5034343.8573648	45.81534576416	
1519976.1244132	5034356.4494241	46.008827209473	
1520026.6284048	5034369.0414835	46.187362670898	
1520077.1323963	5034381.6335428	46.40015411377	
1520127.6363878	5034394.2256022	46.623081207275	
1520178.1403794	5034406.8176615	46.858028411865	
1520228.6443709	5034419.4097209	47.079833984375	
1520279.1483625	5034432.0017802	47.346794128418	
1520329.652354	5034444.5938396	47.635055541992	
1520380.1563455	5034457.1858989	47.937747955322	
1520430.6603371	5034469.7779582	48.213848114014	
1520481.1643286	5034482.3700176	48.564041137695	
1520531.6683201	5034494.9620769	48.824653625488	
1520582.1723117	5034507.5541363	49.058399200439	
1520632.6763032	5034520.1461956	49.237964630127	
1520683.1802947	5034532.738255	49.421566009521	
1520733.6842863	5034545.3303143	49.582885742188	
1520784.1882778	5034557.9223737	49.728656768799	
1516806.0140626	5033516.459719	45.557563781738	
1516856.5180541	5033529.0517784	45.615879058838	
1516907.0220457	5033541.6438377	45.714702606201	
1516957.5260372	5033554.2358971	45.830486297607	
1517008.0300288	5033566.8279564	45.951503753662	
1517058.5340203	5033579.4200157	46.060153961182	
1517109.0380118	5033592.0120751	46.171783447266	
1517159.5420034	5033604.6041344	46.278503417969	
1517210.0459949	5033617.1961938	46.381233215332	
1517260.5499864	5033629.7882531	46.475479125977	
1517311.053978	5033642.3803125	46.597496032715	
1517361.5579695	5033654.9723718	46.702247619629	
1517412.061961	5033667.5644312	46.813442230225	
1517462.5659526	5033680.1564905	46.926113128662	
1517513.0699441	5033692.7485498	47.046283721924	
1517563.5739356	5033705.3406092	47.163089752197	
1517614.0779272	5033717.9326685	47.269931793213	
1517664.5819187	5033730.5247279	47.354373931885	
1517715.0859102	5033743.1167872	47.424671173096	
1517765.5899018	5033755.7088466	47.472686767578	
1517816.0938933	5033768.3009059	47.498462677002	
1517866.5978848	5033780.8929653	47.493492126465	
1517917.1018764	5033793.4850246	47.477111816406	
1517967.6058679	5033806.077084	47.440780639648	
1518018.1098595	5033818.6691433	47.384147644043	
1518068.613851	5033831.2612026	47.296020507812	
1518119.1178425	5033843.853262	47.197299957275	
1518169.6218341	5033856.4453213	47.078540802002	
1518220.1258256	5033869.0373807	46.933403015137	
1518270.6298171	5033881.62944	46.7841796875	
1518321.1338087	5033894.2214994	46.594383239746	
1518371.6378002	5033906.8135587	46.428680419922	
1518422.1417917	5033919.4056181	46.252788543701	
1518472.6457833	5033931.9976774	46.083087921143	
1518523.1497748	5033944.5897367	45.913433074951	
1518573.6537663	5033957.1817961	45.74405670166	
1518624.1577579	5033969.7738554	45.567165374756	
1518674.6617494	5033982.3659148	45.400127410889	
1518725.1657409	5033994.9579741	45.237022399902	
1518775.6697325	5034007.5500335	45.084339141846	
1518826.173724	5034020.1420928	44.936496734619	
1518876.6777155	5034032.7341522	44.816783905029	
1518927.1817071	5034045.3262115	44.711074829102	
1518977.6856986	5034057.9182709	44.617900848389	
1519028.1896902	5034070.5103302	44.525577545166	
1519078.6936817	5034083.1023895	44.461326599121	
1519129.1976732	5034095.6944489	44.414798736572	
1519179.7016648	5034108.2865082	44.38846206665	
1519230.2056563	5034120.8785676	44.366363525391	
1519280.7096478	5034133.4706269	44.385353088379	
1519331.2136394	5034146.0626863	44.443473815918	
1519381.7176309	5034158.6547456	44.511829376221	
1519432.2216224	5034171.246805	44.574615478516	
