,q,x,y,boundname,screen_top,screen_botm,enddatetime,datetime,laymidpt
66,0.0,1517585.0036,5032026.9991,5196__0,110.03715515,64.62106323,2022-12-31,2021-01-01,87.32910919
67,-0.008,1517647.0034,5031648.0003,21/5__0,109.92002869,64.24648285,2022-12-31,2021-01-01,87.08325577
68,-0.008,1517718.0031,5031736.0007,21/6__0,109.08650208,64.12441254,2022-12-31,2021-01-01,86.60545730999999
69,0.0,1519361.0041,5030790.998,5352/1-2__0,105.47945404,62.04067612,2022-12-31,2021-01-01,83.76006508
70,-0.008,1517845.0024,5031586.9986,21/14__0,108.80895233,63.80172348,2022-12-31,2021-01-01,86.305337905
71,-0.008,1517749.0031,5031492.9919,21/16__0,109.21190643,63.97498322,2022-12-31,2021-01-01,86.593444825
72,0.0,1518837.0009,5031112.9948,5257/1__0,106.56768799,62.83441925,2022-12-31,2021-01-01,84.70105362
73,0.0,1518849.9968,5031075.9999,5257/2__0,107.22766113,62.68336105,2022-12-31,2021-01-01,84.95551109
74,0.0,1520457.9976,5032331.9991,5426/p1-p2__0,104.78817749,68.03938293,2022-12-31,2021-01-01,86.41378021
75,0.0,1520497.9975,5032294.9968,5426/r1-r2-r3__0,104.26865387,67.89070129,2022-12-31,2021-01-01,86.07967758
76,-0.008,1519559.9978,5033463.9985,5600/p1__0,107.52838898,71.73825073,2022-12-31,2021-01-01,89.633319855
77,-0.008,1519593.9975,5033411.9991,5600/p2__0,107.55656433,71.47679901,2022-12-31,2021-01-01,89.51668167
78,-0.008,1519634.9982,5033369.9903,5600/p3__0,107.6627655,71.3396225,2022-12-31,2021-01-01,89.501194
79,0.006,1519433.0009,5033336.9925,5600/r1__0,108.33624268,71.71946716,2022-12-31,2021-01-01,90.02785492
80,0.006,1519443.996,5033326.9955,5600/r2__0,108.33624268,71.71946716,2022-12-31,2021-01-01,90.02785492
81,0.006,1519469.0021,5033304.9914,5600/r3__0,107.84601593,71.50624847,2022-12-31,2021-01-01,89.6761322
82,0.006,1519482.0045,5033285.9927,5600/r4__0,107.84601593,71.50624847,2022-12-31,2021-01-01,89.6761322
83,0.024,1519518.9951,5033226.9991,5600/sca__0,107.97271729,71.20656586,2022-12-31,2021-01-01,89.589641575
84,-0.0214,1519078.0002,5033219.9947,5636/1__0,107.6685791,71.26053619,2022-12-31,2021-01-01,89.464557645
85,0.0214,1519088.0037,5033340.9992,5636/2__0,108.11677551,71.62285614,2022-12-31,2021-01-01,89.86981582499999
86,0.0214,1519071.9995,5033226.9908,5636/3__0,107.9879303,71.23077393,2022-12-31,2021-01-01,89.60935211500001
87,-0.006,1519568.0019,5033226.9948,5686/p1__0,107.90103149,71.13298035,2022-12-31,2021-01-01,89.51700592
88,-0.006,1519571.9988,5033222.9929,5686/p2__0,107.90103149,71.13298035,2022-12-31,2021-01-01,89.51700592
89,0.006,1519546.9999,5033241.0,5686/r1__0,108.01702118,71.26424408,2022-12-31,2021-01-01,89.64063263
90,0.006,1519545.005,5033238.9979,5686/r2__0,107.90103149,71.13298035,2022-12-31,2021-01-01,89.51700592
91,0.012,1519518.9951,5033226.9991,5686/sca__0,107.97271729,71.20656586,2022-12-31,2021-01-01,89.589641575
92,0.0,1519594.0014,5033191.995,5700/p1__0,108.11960602,71.02738953,2022-12-31,2021-01-01,89.57349777499999
93,0.0,1519594.0014,5033191.995,5700/r1__0,108.11960602,71.02738953,2022-12-31,2021-01-01,89.57349777499999
94,0.008,1519549.9958,5033195.998,5700/sca__0,107.90103149,71.13298035,2022-12-31,2021-01-01,89.51700592
95,0.0,1518741.9974,5032159.9917,5740/p1__0,108.35386658,66.32572174,2022-12-31,2021-01-01,87.33979416
96,0.0,1518750.9971,5032173.9949,5740/p2__0,108.75241089,66.43451691,2022-12-31,2021-01-01,87.59346389999999
97,0.0,1518797.9981,5032196.9987,5740/p3__0,107.75100708,66.66931152,2022-12-31,2021-01-01,87.21015929999999
98,0.0,1518819.9998,5032198.9906,5740/p4__0,107.93598938,66.8753891,2022-12-31,2021-01-01,87.40568924
99,0.0,1518770.9994,5032143.9927,5740/p5__0,108.35386658,66.32572174,2022-12-31,2021-01-01,87.33979416
100,0.0,1518808.9982,5032148.994,5740/p6__0,107.60113525,66.52565765,2022-12-31,2021-01-01,87.06339645
101,0.0,1518942.9974,5031919.9992,5740/r1__0,108.88883972,66.1630249,2022-12-31,2021-01-01,87.52593231
102,0.0,1518949.0042,5031910.9949,5740/r2__0,108.88883972,66.1630249,2022-12-31,2021-01-01,87.52593231
