,Kij,Q,b0,b1,b2
223,"(9, 3, 50)",-0.01,9,3,50
224,"(9, 4, 0)",0.01,9,4,0
225,"(9, 4, 50)",-0.01,9,4,50
226,"(9, 5, 0)",0.01,9,5,0
227,"(9, 5, 50)",-0.01,9,5,50
228,"(9, 6, 0)",0.01,9,6,0
229,"(9, 6, 50)",-0.01,9,6,50
230,"(9, 7, 0)",0.01,9,7,0
231,"(9, 7, 50)",-0.01,9,7,50
232,"(9, 8, 0)",0.01,9,8,0
233,"(9, 8, 50)",-0.01,9,8,50
234,"(9, 9, 0)",0.01,9,9,0
235,"(9, 9, 50)",-0.01,9,9,50
236,"(9, 10, 0)",0.01,9,10,0
237,"(9, 10, 50)",-0.01,9,10,50
238,"(9, 11, 0)",0.01,9,11,0
239,"(9, 11, 50)",-0.01,9,11,50
