X	Y	default	
554532.83620089	395203.35467948	333.36276245117	
554567.63899251	395203.53670383	333.80429077148	
554602.44178419	395203.71891154	334.38851928711	
554637.24457595	395203.90130261	335.13232421875	
554672.04736777	395204.08387705	336.06503295898	
554706.85015967	395204.26663485	337.24053955078	
554741.65295164	395204.44957601	338.69284057617	
554776.45574368	395204.63270053	340.35971069336	
554811.25853579	395204.81600842	342.26260375977	
554846.06132797	395204.99949966	344.58239746094	
554880.86412022	395205.18317427	348.18701171875	
554915.66691255	395205.36703225	353.63705444336	
554950.46970494	395205.55107358	358.75045776367	
554985.27249741	395205.73529828	360.27053833008	
555020.07528995	395205.91970634	359.56274414062	
555054.87808256	395206.10429776	359.66259765625	
555089.68087525	395206.28907254	359.68041992188	
555124.483668	395206.47403069	359.88327026367	
555159.28646083	395206.6591722	360.66500854492	
555194.08925373	395206.84449707	361.41909790039	
555228.8920467	395207.0300053	361.22424316406	
555263.69483974	395207.2156969	360.06579589844	
555298.49763286	395207.40157186	359.92449951172	
552410.10270204	395144.36061258	323.19161987305	
552444.90574361	395144.53145179	323.15576171875	
552479.70878525	395144.70247436	323.1155090332	
552514.51182695	395144.87368029	323.08187866211	
552549.31486872	395145.04506958	323.0693359375	
552584.11791055	395145.21664223	323.08932495117	
552618.92095245	395145.38839825	323.11895751953	
552653.72399442	395145.56033762	323.17556762695	
552688.52703646	395145.73246036	323.3108215332	
552723.33007856	395145.90476645	323.51678466797	
552758.13312073	395146.07725591	323.77084350586	
552792.93616297	395146.24992872	324.04266357422	
552827.73920527	395146.4227849	324.30484008789	
552862.54224765	395146.59582444	324.54086303711	
552897.34529008	395146.76904734	324.73892211914	
552932.14833259	395146.9424536	324.90078735352	
552966.95137517	395147.11604323	325.03726196289	
553001.75441781	395147.28981621	325.14367675781	
553036.55746052	395147.46377255	325.224609375	
553071.36050329	395147.63791226	325.29849243164	
553106.16354614	395147.81223533	325.38583374023	
553140.96658905	395147.98674175	325.48870849609	
553175.76963203	395148.16143154	325.59399414062	
553210.57267508	395148.33630469	325.69393920898	
553245.37571819	395148.5113612	325.79254150391	
553280.17876138	395148.68660107	325.88970947266	
553314.98180463	395148.86202431	325.98348999023	
553349.78484795	395149.0376309	326.08346557617	
553384.58789134	395149.21342086	326.21142578125	
553419.3909348	395149.38939418	326.37945556641	
553454.19397833	395149.56555085	326.53289794922	
553488.99702192	395149.74189089	326.65963745117	
553523.80006559	395149.9184143	326.77096557617	
553558.60310932	395150.09512106	326.87884521484	
553593.40615312	395150.27201118	326.98858642578	
553628.20919699	395150.44908467	327.10461425781	
553663.01224093	395150.62634151	327.24090576172	
553697.81528494	395150.80378172	327.4326171875	
553732.61832901	395150.98140529	327.6589050293	
553767.42137316	395151.15921223	327.87454223633	
553802.22441737	395151.33720252	328.07196044922	
553837.02746166	395151.51537617	328.26031494141	
553871.83050601	395151.69373319	328.44567871094	
553906.63355043	395151.87227356	328.62673950195	
553941.43659493	395152.0509973	328.80221557617	
553976.23963949	395152.2299044	328.97399902344	
554011.04268412	395152.40899487	329.16186523438	
554045.84572882	395152.58826869	329.38833618164	
554080.6487736	395152.76772588	329.59915161133	
554115.45181844	395152.94736642	329.77597045898	
554150.25486335	395153.12719033	329.9508972168	
554185.05790833	395153.3071976	330.17803955078	
554219.86095338	395153.48738824	330.47525024414	
554254.6639985	395153.66776223	330.80654907227	
554289.46704369	395153.84831959	331.11340332031	
554324.27008896	395154.02906031	331.40521240234	
554359.07313429	395154.20998439	331.70083618164	
554393.87617969	395154.39109183	332.02368164062	
554428.67922516	395154.57238263	332.41354370117	
554463.48227071	395154.7538568	332.90853881836	
554498.28531632	395154.93551433	333.44760131836	
554533.08836201	395155.11735521	333.90585327148	
554567.89140776	395155.29937947	334.28723144531	
554602.69445359	395155.48158708	334.80026245117	
554637.49749949	395155.66397806	335.5514831543	
554672.30054546	395155.84655239	336.5090637207	
554707.1035915	395156.02931009	337.65347290039	
554741.90663761	395156.21225116	339.12762451172	
554776.70968379	395156.39537558	340.9440612793	
554811.51273004	395156.57868337	342.86590576172	
554846.31577637	395156.76217451	344.98678588867	
554881.11882276	395156.94584903	348.0712890625	
554915.92186923	395157.1297069	352.98489379883	
554950.72491577	395157.31374813	358.35833740234	
554985.52796238	395157.49797273	361.04119873047	
555020.33100906	395157.68238069	359.7092590332	
555055.13405582	395157.86697201	359.72418212891	
555089.93710264	395158.0517467	359.70108032227	
555124.74014954	395158.23670474	359.77694702148	
555159.54319651	395158.42184615	360.1340637207	
555194.34624355	395158.60717092	360.73764038086	
555229.14929067	395158.79267906	361.06838989258	
555263.95233785	395158.97837055	360.53012084961	
555298.75538511	395159.16424541	359.92651367188	
555333.55843244	395159.35030364	359.91464233398	
555368.36147984	395159.53654522	359.701171875	
555403.16452732	395159.72297017	360.05740356445	
555437.96757487	395159.90957847	361.43139648438	
555472.77062249	395160.09637015	362.8889465332	
555507.57367018	395160.28334518	363.12066650391	
555542.37671795	395160.47050358	361.80133056641	
555577.17976579	395160.65784534	358.33428955078	
555611.9828137	395160.84537046	354.90753173828	
555646.78586169	395161.03307894	350.0627746582	
555681.58890974	395161.22097079	346.64996337891	
555716.39195788	395161.409046	346.17068481445	
555751.19500608	395161.59730457	347.74859619141	
555785.99805436	395161.78574651	348.88986206055	
555820.80110271	395161.97437181	347.64147949219	
555855.60415113	395162.16318047	345.384765625	
555890.40719963	395162.35217249	345.85906982422	
555925.2102482	395162.54134788	347.79827880859	
555960.01329685	395162.73070663	347.78961181641	
555994.81634557	395162.92024875	346.09030151367	
556029.61939436	395163.10997422	344.16213989258	
556064.42244323	395163.29988306	342.58117675781	
556099.22549217	395163.48997526	342.44970703125	
556134.02854118	395163.68025083	343.95086669922	
556168.83159027	395163.87070976	345.11224365234	
556203.63463943	395164.06135205	344.54833984375	
556238.43768867	395164.2521777	342.962890625	
556273.24073798	395164.44318672	341.55429077148	
556308.04378737	395164.6343791	340.69378662109	
556342.84683683	395164.82575484	339.50610351562	
556377.64988636	395165.01731395	337.50531005859	
556412.45293597	395165.20905642	336.56607055664	
556447.25598565	395165.40098225	336.27893066406	
556482.05903541	395165.59309145	335.14282226562	
556516.86208524	395165.78538401	333.4221496582	
556551.66513515	395165.97785993	331.86801147461	
556586.46818513	395166.17051922	331.17175292969	
556621.27123519	395166.36336187	331.80795288086	
556656.07428532	395166.55638788	331.18951416016	
556690.87733553	395166.74959726	328.84320068359	
556725.68038581	395166.94299	325.44186401367	
556760.48343617	395167.1365661	321.57070922852	
556795.28648661	395167.33032557	317.86392211914	
556830.08953711	395167.5242684	315.1689453125	
556864.8925877	395167.71839459	313.98880004883	
556899.69563836	395167.91270415	313.21734619141	
