rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
76,3725,0,44,73,6,10,53.50106,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,77,7,-0.15521032,1006,0
77,3808,0,45,73,6,11,53.99793,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,78,7,-0.10146083,1006,0
78,3891,0,46,73,6,12,50.77105,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,79,7,-0.04907634,1006,0
79,3974,0,47,73,6,13,9.555695,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,80,7,-0.01891297,1006,0
80,3973,0,47,72,6,14,14.135121,1.0,0.011177628227276012,101.92,1,1.0,0.0,0.0,0.0,0.0,81,7,-0.0070675607,1006,0
81,3973,0,47,72,7,1,29.99818,1.0,0.0001,101.762,1,1.0,0.0,0.0,0.0,0.0,82,8,-0.4375568,1007,0
82,4056,0,48,72,7,2,53.98173,1.0,0.00022231664830163437,101.762,1,1.0,0.0,0.0,0.0,0.0,83,8,-0.39556685,1007,0
83,4139,0,49,72,7,3,50.532536,1.0,0.0001,101.75,1,1.0,0.0,0.0,0.0,0.0,84,8,-0.3433097,1007,0
84,4222,0,50,72,7,4,50.126377,1.0,0.0001,101.75,1,1.0,0.0,0.0,0.0,0.0,85,8,-0.29298025,1007,0
85,4305,0,51,72,7,5,50.09999,1.0,0.0001,101.75,1,1.0,0.0,0.0,0.0,0.0,86,8,-0.24286707,1007,0
86,4388,0,52,72,7,6,52.330704,1.0,0.0001,101.75,1,1.0,0.0,0.0,0.0,0.0,87,8,-0.19165172,1007,0
87,4471,0,53,72,7,7,50.0784,1.0,0.0001,101.75,1,1.0,0.0,0.0,0.0,0.0,88,8,-0.14044717,1007,0
88,4554,0,54,72,7,8,43.708656,1.0,0.0001,101.75,1,1.0,0.0,0.0,0.0,0.0,89,8,-0.09355364,1007,0
89,4553,0,54,71,7,9,19.914007,1.0,0.05614119776738573,101.75,1,1.0,0.0,0.0,0.0,0.0,90,8,-0.061742306,1007,0
90,4636,0,55,71,7,10,51.7853,1.0,0.00017384634899831355,100.632,1,1.0,0.0,0.0,0.0,0.0,91,8,-0.02589265,1007,0
91,4719,0,56,71,8,1,51.34264,1.0,0.0001,100.623,1,1.0,0.0,0.0,0.0,0.0,92,9,-0.42297924,1008,0
92,4802,0,57,71,8,2,50.800865,1.0,0.0001,100.623,1,1.0,0.0,0.0,0.0,0.0,93,9,-0.3719075,1008,0
93,4885,0,58,71,8,3,50.901546,1.0,0.0001,100.623,1,1.0,0.0,0.0,0.0,0.0,94,9,-0.32105628,1008,0
94,4968,0,59,71,8,4,50.833286,1.0,0.0007082586120997857,100.623,1,1.0,0.0,0.0,0.0,0.0,95,9,-0.27018887,1008,0
95,5051,0,60,71,8,5,50.404797,1.0,0.0001,100.587,1,1.0,0.0,0.0,0.0,0.0,96,9,-0.21956983,1008,0
96,5134,0,61,71,8,6,50.635967,1.0,0.002468601011834112,100.583,1,1.0,0.0,0.0,0.0,0.0,97,9,-0.16904944,1008,0
97,5217,0,62,71,8,7,46.788246,1.0,0.0027784168910266705,100.458,1,1.0,0.0,0.0,0.0,0.0,98,9,-0.12033734,1008,0
98,5218,0,62,72,8,8,13.869483,1.0,0.0028840956468542322,100.328,1,1.0,0.0,0.0,0.0,0.0,99,9,-0.090008475,1008,0
99,5301,0,63,72,8,9,58.43757,1.0,0.000838563311138322,100.288,1,1.0,0.0,0.0,0.0,0.0,100,9,-0.053854946,1008,0
100,5384,0,64,72,8,10,24.636164,1.0,0.0001,100.239,1,1.0,0.0,0.0,0.0,0.0,101,9,-0.012318082,1008,0
101,5384,0,64,72,9,1,26.590162,1.0,0.0001,100.239,1,1.0,0.0,0.0,0.0,0.0,102,10,-0.9000896,1009,0
102,5467,0,65,72,9,2,5.9608727,1.0,0.0001,100.239,1,1.0,0.0,0.0,0.0,0.0,103,10,-0.8838141,1009,0
