name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3773.5,35.2401,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3804.5,35.2911,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3834.5,35.3104,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3865.5,35.2842,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3896.5,35.233,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3926.5,35.1535,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3957.5,35.0741,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3987.5,35.0038,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4018.5,34.9436,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4049.5,34.9239,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4077.5,34.9587,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4108.5,35.0296,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4138.5,35.1046,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4169.5,35.1773,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4199.5,35.213,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4230.5,35.2103,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4261.5,35.1543,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4291.5,35.0742,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
