X	Y	09_Bott_L1	
1517575.2150517	5033658.6506428	61.670803070068	
1517625.7190432	5033671.2427021	61.839859008789	
1517676.2230348	5033683.8347615	62.108200073242	
1517726.7270263	5033696.4268208	62.418239593506	
1517777.2310178	5033709.0188802	62.734832763672	
1517827.7350094	5033721.6109395	63.124401092529	
1517878.2390009	5033734.2029989	63.546043395996	
1517928.7429925	5033746.7950582	63.996726989746	
1517979.246984	5033759.3871176	64.463836669922	
1518029.7509755	5033771.9791769	64.967956542969	
1518080.2549671	5033784.5712363	65.490043640137	
1518130.7589586	5033797.1632956	66.024963378906	
1518181.2629501	5033809.7553549	66.575157165527	
1518231.7669417	5033822.3474143	67.123146057129	
1518282.2709332	5033834.9394736	67.773239135742	
1518332.7749247	5033847.531533	68.30785369873	
1518383.2789163	5033860.1235923	68.85115814209	
1518433.7829078	5033872.7156517	69.354270935059	
1518484.2868993	5033885.307711	69.831062316895	
1518534.7908909	5033897.8997704	70.279159545898	
1518585.2948824	5033910.4918297	70.731971740723	
1518635.7988739	5033923.083889	71.131973266602	
1518686.3028655	5033935.6759484	71.511306762695	
1518736.806857	5033948.2680077	71.868919372559	
1518787.3108485	5033960.8600671	72.236312866211	
1518837.8148401	5033973.4521264	72.547080993652	
1518888.3188316	5033986.0441858	72.835594177246	
1518938.8228232	5033998.6362451	73.103378295898	
1518989.3268147	5034011.2283045	73.383728027344	
1519039.8308062	5034023.8203638	73.605033874512	
1519090.3347978	5034036.4124232	73.793601989746	
1519140.8387893	5034049.0044825	73.974876403809	
1519191.3427808	5034061.5965418	74.078300476074	
1519241.8467724	5034074.1886012	74.138130187988	
1519292.3507639	5034086.7806605	74.152572631836	
1519342.8547554	5034099.3727199	74.163314819336	
1519393.358747	5034111.9647792	74.110076904297	
1519443.8627385	5034124.5568386	74.024360656738	
1519494.36673	5034137.1488979	73.910758972168	
1519544.8707216	5034149.7409573	73.808471679688	
1519595.3747131	5034162.3330166	73.664619445801	
1519645.8787046	5034174.925076	73.518478393555	
1519696.3826962	5034187.5171353	73.375175476074	
1519746.8866877	5034200.1091946	73.266319274902	
1519797.3906793	5034212.701254	73.125717163086	
1519847.8946708	5034225.2933133	72.979141235352	
