X	Y	DTM_smooth	
1518220.1258256	5033869.0373807	111.54524230957	
1518270.6298171	5033881.62944	111.49411010742	
1518321.1338087	5033894.2214994	111.64139556885	
1518371.6378002	5033906.8135587	111.55946350098	
1518422.1417917	5033919.4056181	111.4116973877	
1518472.6457833	5033931.9976774	110.76103210449	
1518523.1497748	5033944.5897367	110.92462158203	
1518573.6537663	5033957.1817961	112.46110534668	
1518624.1577579	5033969.7738554	113.37609100342	
1518674.6617494	5033982.3659148	110.34062194824	
1518725.1657409	5033994.9579741	110.51937103271	
1518775.6697325	5034007.5500335	109.98374938965	
1518826.173724	5034020.1420928	109.8532409668	
1518876.6777155	5034032.7341522	109.96207427979	
1518927.1817071	5034045.3262115	109.98210906982	
1518977.6856986	5034057.9182709	110.20346832275	
1519028.1896902	5034070.5103302	109.47580718994	
1519078.6936817	5034083.1023895	109.58108520508	
1519129.1976732	5034095.6944489	109.93655395508	
1519179.7016648	5034108.2865082	109.95042419434	
1519230.2056563	5034120.8785676	109.46098327637	
1519280.7096478	5034133.4706269	109.41735839844	
1519331.2136394	5034146.0626863	109.53586578369	
1519381.7176309	5034158.6547456	109.77512359619	
1519432.2216224	5034171.246805	110.19287109375	
1519482.725614	5034183.8388643	110.13212585449	
1519533.2296055	5034196.4309236	112.59008026123	
1519583.733597	5034209.022983	113.06661224365	
1519634.2375886	5034221.6150423	112.68241119385	
1519684.7415801	5034234.2071017	108.53795623779	
1519735.2455716	5034246.799161	110.87432098389	
1519785.7495632	5034259.3912204	113.38218688965	
1519836.2535547	5034271.9832797	109.50238037109	
1519886.7575462	5034284.5753391	110.32874298096	
1519937.2615378	5034297.1673984	109.96914672852	
1519987.7655293	5034309.7594578	109.55626678467	
1520038.2695209	5034322.3515171	109.98234558105	
1520088.7735124	5034334.9435764	109.8620300293	
1520139.2775039	5034347.5356358	108.92979431152	
1520189.7814955	5034360.1276951	108.29134368896	
1520240.285487	5034372.7197545	108.34178161621	
1520290.7894785	5034385.3118138	108.15100860596	
1520341.2934701	5034397.9038732	108.06731414795	
1520391.7974616	5034410.4959325	108.06224822998	
1520442.3014531	5034423.0879919	108.14672088623	
1520492.8054447	5034435.6800512	108.08547210693	
1520543.3094362	5034448.2721105	107.93589019775	
1520593.8134277	5034460.8641699	107.97769165039	
1520644.3174193	5034473.4562292	108.06018829346	
1520694.8214108	5034486.0482886	108.23343658447	
1520745.3254023	5034498.6403479	108.69219207764	
1520795.8293939	5034511.2324073	108.43975067139	
1516817.6551787	5033469.7697526	113.52541351318	
1516868.1591702	5033482.361812	113.68217468262	
1516918.6631618	5033494.9538713	113.74129486084	
1516969.1671533	5033507.5459307	113.82373809814	
1517019.6711448	5033520.13799	113.58862304688	
1517070.1751364	5033532.7300494	113.47473907471	
1517120.6791279	5033545.3221087	113.34126281738	
1517171.1831194	5033557.914168	113.10669708252	
1517221.687111	5033570.5062274	113.0124206543	
1517272.1911025	5033583.0982867	112.51654815674	
1517322.695094	5033595.6903461	112.41580963135	
1517373.1990856	5033608.2824054	112.36424255371	
1517423.7030771	5033620.8744648	112.31275177002	
1517474.2070686	5033633.4665241	112.26335144043	
1517524.7110602	5033646.0585835	112.09978485107	
1517575.2150517	5033658.6506428	112.18907928467	
1517625.7190432	5033671.2427021	112.31902313232	
1517676.2230348	5033683.8347615	112.23727416992	
1517726.7270263	5033696.4268208	112.63570404053	
1517777.2310178	5033709.0188802	112.52142333984	
1517827.7350094	5033721.6109395	112.69370269775	
1517878.2390009	5033734.2029989	112.8109588623	
1517928.7429925	5033746.7950582	112.93592834473	
1517979.246984	5033759.3871176	112.85397338867	
1518029.7509755	5033771.9791769	112.28040313721	
1518080.2549671	5033784.5712363	111.77754211426	
1518130.7589586	5033797.1632956	111.75786590576	
1518181.2629501	5033809.7553549	111.58847045898	
1518231.7669417	5033822.3474143	111.65187072754	
1518282.2709332	5033834.9394736	111.61940002441	
1518332.7749247	5033847.531533	111.73867034912	
1518383.2789163	5033860.1235923	111.75607299805	
1518433.7829078	5033872.7156517	110.99304199219	
1518484.2868993	5033885.307711	109.92665863037	
1518534.7908909	5033897.8997704	111.15465545654	
1518585.2948824	5033910.4918297	114.47032165527	
1518635.7988739	5033923.083889	111.14190673828	
1518686.3028655	5033935.6759484	110.67498779297	
1518736.806857	5033948.2680077	110.48342132568	
1518787.3108485	5033960.8600671	110.03524017334	
1518837.8148401	5033973.4521264	110.05728149414	
1518888.3188316	5033986.0441858	109.81600952148	
1518938.8228232	5033998.6362451	109.70420074463	
1518989.3268147	5034011.2283045	109.94507598877	
1519039.8308062	5034023.8203638	109.99911499023	
1519090.3347978	5034036.4124232	109.64315795898	
1519140.8387893	5034049.0044825	109.73385620117	
1519191.3427808	5034061.5965418	109.90096282959	
1519241.8467724	5034074.1886012	109.55474853516	
1519292.3507639	5034086.7806605	109.34284973145	
1519342.8547554	5034099.3727199	109.46384429932	
1519393.358747	5034111.9647792	109.7544631958	
1519443.8627385	5034124.5568386	109.74796295166	
1519494.36673	5034137.1488979	109.82446289062	
1519544.8707216	5034149.7409573	110.13232421875	
1519595.3747131	5034162.3330166	114.91888427734	
1519645.8787046	5034174.925076	112.40077209473	
1519696.3826962	5034187.5171353	108.81302642822	
1519746.8866877	5034200.1091946	110.87767028809	
1519797.3906793	5034212.701254	112.19139099121	
1519847.8946708	5034225.2933133	109.39321136475	
1519898.3986623	5034237.8853727	109.94208526611	
1519948.9026539	5034250.477432	108.62393188477	
1519999.4066454	5034263.0694914	108.06661224365	
1520049.9106369	5034275.6615507	108.34265136719	
1520100.4146285	5034288.2536101	109.71720123291	
1520150.91862	5034300.8456694	109.85367584229	
1520201.4226115	5034313.4377287	109.71726226807	
1520251.9266031	5034326.0297881	109.41687774658	
1520302.4305946	5034338.6218474	108.86183166504	
1520352.9345861	5034351.2139068	108.43614196777	
1520403.4385777	5034363.8059661	108.11772918701	
1520453.9425692	5034376.3980255	108.0451965332	
1520504.4465607	5034388.9900848	107.8988494873	
1520554.9505523	5034401.5821442	107.78710174561	
1520605.4545438	5034414.1742035	107.84667205811	
1520655.9585353	5034426.7662629	108.03689575195	
1520706.4625269	5034439.3583222	108.17650604248	
1520756.9665184	5034451.9503815	108.52801513672	
1520807.47051	5034464.5424409	108.07765960693	
1516829.2962948	5033423.0797862	113.2490234375	
1516879.8002863	5033435.6718456	113.48051452637	
1516930.3042778	5033448.2639049	113.61901855469	
1516980.8082694	5033460.8559643	113.22371673584	
1517031.3122609	5033473.4480236	113.41959381104	
1517081.8162524	5033486.040083	113.22183227539	
1517132.320244	5033498.6321423	112.85252380371	
1517182.8242355	5033511.2242017	112.7301864624	
