,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10,1.0549818499850376e-33,4.7279972907667704e-32,2.1214526973606194e-30,9.311684694732549e-29,3.9861014146892826e-27,1.6580317064233396e-25,6.670624357919008e-24,2.580679692204235e-22,9.527935349362854e-21,3.3231452507635317e-19,1.0796149220673316e-17,3.2009307657498715e-16,8.391806062998456e-15,1.8444546364146001e-13,3.0645341930433893e-12,2.948966349209624e-11,6.241481629046194e-12,7.631594858725651e-13,6.729680880415306e-14,4.867465344416266e-15,3.0873439654467996e-16,1.7835971424873005e-17,9.60697006197366e-19,4.89946839193643e-20,2.3913320902721685e-21,1.1257297309429563e-22,5.1411621363837725e-24,2.288072582124504e-25,9.958516931280196e-27,4.2507783757940455e-28,1.7835980645366126e-29,7.3707644059387265e-31,3.004776286692918e-32,1.2100014532204193e-33,4.818789647365162e-35,1.8997778250529263e-36,7.420917171086741e-38,2.874298879719538e-39,1.1046272014435194e-40,4.214687431514794e-42,1.5973817341761043e-43,6.016573994001352e-45,2.2530433162756845e-46,8.39139036332884e-48,3.1095484922958925e-49,1.1695626582839218e-50
11,5.287371894096176e-32,2.4892690654124052e-30,1.1752000591833365e-28,5.442328925361687e-27,2.465575298350652e-25,1.089127895616359e-23,4.671692445319537e-22,1.9356145600981618e-20,7.693586982760327e-19,2.9066527210383647e-17,1.0304285669861172e-15,3.3637243328843036e-14,9.818279536838237e-13,2.4368755870536952e-11,4.6563889842338995e-10,5.273936141974315e-09,9.502382548113908e-10,1.0115561896327522e-10,8.051453584746448e-12,5.367451955816255e-13,3.178658116061761e-14,1.7296572712923026e-15,8.831771686650612e-17,4.291147200653978e-18,2.003429697825123e-19,9.051684183709277e-21,3.97878057353552e-22,1.7085035742374847e-23,7.189995915166044e-25,2.973120103720715e-26,1.2105521945535483e-27,4.86181987693581e-29,1.92881940600803e-30,7.568271386292825e-32,2.9401587212326748e-33,1.131896206136541e-34,4.321601581376798e-36,1.6375041528805084e-37,6.161419419460912e-39,2.303405937460258e-40,8.559657163834119e-42,3.16316033341165e-43,1.162863631527672e-44,4.254284479662825e-46,1.5493628751382185e-47,5.723481261626359e-49
12,2.2272600686707558e-30,1.1043234105306807e-28,5.500839644275949e-27,2.696033642226053e-25,1.2971119399248588e-23,6.108704932734199e-22,2.806006402717554e-20,1.2514382032473984e-18,5.38649628714727e-17,2.2195278925440263e-15,8.65637919469889e-14,3.142387887357392e-12,1.0341110365706852e-10,2.9468283697080766e-09,6.627903723856158e-08,9.149417584803271e-07,1.355820657929367e-07,1.227616603818034e-08,8.651834078081469e-10,5.235753416323632e-11,2.8596206365080863e-12,1.4506350750326437e-13,6.959292824098759e-15,3.1958187838596817e-16,1.4167889630400844e-17,6.101481386260282e-19,2.5645310922246037e-20,1.055835169009445e-21,4.270130465184515e-23,1.700358335499072e-24,6.678945372179863e-26,2.5918892084017152e-27,9.950139030777011e-29,3.7828755660784306e-30,1.4256119001764281e-31,5.329866710198033e-33,1.9781992919451246e-34,7.293344002120337e-36,2.6725041241005858e-37,9.737556953322237e-39,3.5294208539156132e-40,1.2730365725370212e-41,4.570961686219979e-43,1.6343091260139743e-44,5.820276842328151e-46,2.101764320262944e-47
13,7.413453079427008e-29,3.882045184392755e-27,2.0466619659351523e-25,1.0653479106774848e-23,5.46493028007147e-22,2.7562964696699696e-20,1.3628723017863166e-18,6.581902582485731e-17,3.089431851368143e-15,1.4000239784152324e-13,6.0677585892627675e-12,2.480174349966092e-10,9.350451707341734e-09,3.1264387994676527e-07,8.546682546377135e-06,0.0001516308396424604,1.753065361549907e-05,1.3072873873960864e-06,7.934217147564024e-08,4.25687370741175e-09,2.1018238752419188e-10,9.77214921377453e-12,4.3406089524162003e-13,1.8599762557634433e-14,7.742001054631627e-16,3.1462108008613705e-17,1.2530754974112223e-18,4.905855338807692e-20,1.8924521156398608e-21,7.206652947587669e-23,2.713416967633617e-24,1.0114248753839663e-25,3.7364072210860296e-27,1.369227299071823e-28,4.981234754737166e-30,1.8002413966952753e-31,6.467108016642633e-33,2.310448431421767e-34,8.212652396853653e-36,2.9056484520748136e-37,1.0235930287158395e-38,3.5914666946594953e-40,1.255446169375516e-41,4.373360348409123e-43,1.5185400097539072e-44,5.345670660876893e-46
14,1.7388477419614662e-27,9.646688080619499e-26,5.4019166007199965e-24,2.9983174769091367e-22,1.6473776767785908e-20,8.945112258103388e-19,4.790252190332942e-17,2.523201976069258e-15,1.302663336742995e-13,6.560009205569358e-12,3.20035687068332e-10,1.4972148530374177e-08,6.608110310630187e-07,2.6729696598864977e-05,0.0009318793084132323,0.023262035762222757,0.0019153967218748617,0.00011213124339935928,5.624027164992942e-06,2.575454990104496e-07,1.110118520853838e-08,4.581915994626234e-10,1.830338367763943e-11,7.127254347238139e-13,2.7189230736335648e-14,1.0198709677811575e-15,3.77193957511126e-17,1.378416729032887e-18,4.985658206186051e-20,1.787214749916919e-21,6.356545464463921e-23,2.2451771601534746e-24,7.88125095937778e-26,2.751271709970948e-27,9.55659305912461e-29,3.304517369790531e-30,1.1379545814743342e-31,3.9039805516144615e-33,1.334722840487509e-34,4.548772278381709e-36,1.545689784534632e-37,5.2380463705484546e-39,1.7705944721487826e-40,5.970998662582393e-42,2.009207864456603e-43,6.85800583275258e-45
15,2.1659701405415964e-26,1.2773605511406624e-24,7.626892383400133e-23,4.534188619405979e-21,2.6821936394950304e-19,1.5775305529299504e-17,9.215785934825337e-16,5.340745614761343e-14,3.065222588785514e-12,1.7383483959041796e-10,9.711097664656847e-09,5.319750730618331e-07,2.838064026849254e-05,0.0014583523914187611,0.07081765144443675,3.0566802334619423,0.1450986299403642,0.006127580744341119,0.000241852302586353,9.154383701527302e-06,3.367307762576161e-07,1.2130705970043535e-08,4.301273087184651e-10,1.5062012556631686e-11,5.221416544928488e-13,1.795076996344026e-14,6.128461954597389e-16,2.0799237890692745e-17,7.023125360243322e-19,2.3609684039639945e-20,7.906121610154704e-22,2.6384350486600395e-23,8.778150864307833e-25,2.9125416262688035e-26,9.639889593544246e-28,3.1834977936327323e-29,1.049198694481129e-30,3.4515044630343375e-32,1.1335064829572628e-33,3.7167542588138506e-35,1.21697204369732e-36,3.979432554014867e-38,1.299653006627234e-39,4.2397188851237204e-41,1.3816171114736869e-42,4.569724827444188e-44
16,1.7388476958348197e-27,9.646686998689346e-26,5.4019157733058785e-24,2.9983169370683223e-22,1.647377359274835e-20,8.94511053383792e-19,4.790251319353783e-17,2.5232015673908423e-15,1.30266316008511e-13,6.5600085119019145e-12,3.2003566288682964e-10,1.4972147809710502e-08,6.608110137203195e-07,2.6729696277815716e-05,0.0009318793030926948,0.02326203570775033,0.001915396722795749,0.00011213124428204702,5.624027299175449e-06,2.575455112984112e-07,1.1101186065406514e-08,4.5819164952893497e-10,1.8303386249964963e-11,7.127255541646743e-13,2.7189235831427784e-14,1.0198711692944214e-15,3.771940315977492e-17,1.3784169806534533e-18,4.985658977759612e-20,1.7872149499616844e-21,6.356545803195917e-23,2.2451771120830385e-24,7.881250075363048e-26,2.7512711073681207e-27,9.556589794301532e-29,3.304515788988072e-30,1.137953868622151e-31,3.9039774962534014e-33,1.3347215803456113e-34,4.548767235025315e-36,1.545687814786556e-37,5.2380388430703515e-39,1.7705916535409063e-40,5.970988306365579e-42,2.0092041295751055e-43,6.857992647897305e-45
17,7.415550751526491e-29,3.883221549664969e-27,2.0472502387231692e-25,1.0656334951104836e-23,5.466268301146817e-22,2.756897806066897e-20,1.3631293416452099e-18,6.582934880120221e-17,3.0898143142482684e-15,1.4001509492815704e-13,6.068117505900071e-12,2.48025213877921e-10,9.350547184162836e-09,3.1264359947941366e-07,8.546682673957236e-06,0.00015163083882627608,1.7530653109590193e-05,1.3072873588035313e-06,7.934113910352414e-08,4.256719714425598e-09,2.1016856672709806e-10,9.771183840892834e-12,4.340031270063715e-13,1.859665529900749e-14,7.740456348095568e-16,3.145488444094502e-17,1.2527539519361288e-18,4.9044815471080627e-20,1.891885388432032e-21,7.204385798459787e-23,2.712534714562872e-24,1.0110901762292977e-25,3.7351676994553944e-27,1.368778913785114e-28,4.9796507436033236e-30,1.7996955471480007e-31,6.465277641224365e-33,2.3098537649094506e-34,8.210794639731302e-36,2.9050979682646874e-37,1.0234424816820947e-38,3.5911109974636766e-40,1.255389291635709e-41,4.373422260123265e-43,1.5186605562244886e-44,5.346571723355363e-46
18,1.8316120752821202e-30,9.18839367932074e-29,4.6336529999905054e-27,2.3010512512024755e-25,1.1226989204384237e-23,5.366827043367925e-22,2.504655857543622e-20,1.135956509451265e-18,4.9764015400446175e-17,2.088306954811614e-15,8.295856547938541e-14,3.0651281540078605e-12,1.024117846811548e-10,2.9467049990947572e-09,6.627903247900659e-08,9.149417508806334e-07,1.3558207210308727e-07,1.2276673887414564e-08,8.742675020044312e-10,5.3762444006020304e-11,2.9907923868928464e-12,1.54620600653852e-13,7.557417835430778e-15,3.53321151793108e-16,1.5931928548062183e-17,6.971762155329116e-19,2.9746021799951244e-20,1.2419855585081443e-21,5.089445595400069e-23,2.051703492647561e-24,8.152480287617577e-26,3.198123029432605e-27,1.240276978026982e-28,4.7605745234990665e-30,1.8102751697808096e-31,6.825637143278142e-33,2.5537344636614906e-34,9.486862470816504e-36,3.5013093245207917e-37,1.2844510280978703e-38,4.6857352568595805e-40,1.7005297212369e-41,6.141751575679944e-43,2.2082160411645042e-44,7.906116321112606e-46,2.868586754162977e-47
19,3.332143619976163e-32,1.611683935182489e-30,7.828496830488009e-29,3.736960003353389e-27,1.7485872687837165e-25,7.994783182307242e-24,3.5573439579744975e-22,1.5323981774086053e-20,6.346196221293882e-19,2.5025304423662858e-17,9.268136646981385e-16,3.1575575541288545e-14,9.572050667148537e-13,2.4365031658735068e-11,4.6563862995866305e-10,5.2739360839107184e-09,9.502387660995718e-10,1.0117119212861364e-10,8.269987101619812e-12,5.734951393373805e-13,3.5493967365377634e-14,2.0198454631127847e-15,1.077325152050767e-16,5.456921677121048e-18,2.649839024531436e-19,1.242261563978014e-20,5.652821073320474e-22,2.5073105622270558e-23,1.0876925409381182e-24,4.6275297815142274e-26,1.9351646656053197e-27,7.969485095406628e-29,3.23724800345365e-30,1.2987997080979428e-31,5.15267710465459e-33,2.0234114608710145e-34,7.871830891067589e-36,3.036269996576951e-37,1.1619072022905601e-38,4.41396439698245e-40,1.6654972388494796e-41,6.244873184770646e-43,2.3278432034354604e-44,8.629818625989743e-46,3.182908140185336e-47,1.1892173607333896e-48
