name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4322.5,34.958,0.358674,34.3684,35.9178,35.3167,34.5993,34.3137,0.00739911,34.2915,34.3293,34.3211,34.3063,0.0391674
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4352.5,34.9637,0.275693,34.3827,35.5717,35.2394,34.688,34.2715,0.00703709,34.25,34.2859,34.2785,34.2644,0.0968146
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3926.5,38.2084,1.03983,36.4036,40.8191,39.2482,37.1686,35.4726,0.0356769,35.3884,35.5819,35.5083,35.4369,0.821704
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4138.5,35.5948,0.7038,34.5956,37.5807,36.2986,34.891,34.3953,0.010243,34.3708,34.4111,34.4055,34.385,0.184416
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4199.5,35.8788,0.672084,34.4471,37.3846,36.5509,35.2067,34.4292,0.0107074,34.4047,34.4469,34.4399,34.4185,0.000241993
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3865.5,35.315,0.387706,34.6979,36.2547,35.7027,34.9273,34.2364,0.00669465,34.2197,34.2497,34.2431,34.2298,0.448187
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3926.5,34.9185,0.417035,34.141,35.7354,35.3356,34.5015,33.9894,0.0042894,33.9821,33.999,33.9937,33.9851,0.142015
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3957.5,34.8263,0.45191,34.0665,35.7017,35.2782,34.3744,33.8888,0.00359864,33.8819,33.8968,33.8924,33.8852,0.169696
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3987.5,34.6623,0.441024,33.97,35.9072,35.1034,34.2213,33.8323,0.00325863,33.8258,33.839,33.8355,33.829,0.130977
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4291.5,34.7152,0.37638,34.0357,35.6963,35.0916,34.3389,33.8266,0.00338728,33.8185,33.834,33.83,33.8232,0.201682
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3987.5,37.6188,1.18168,35.0345,41.2337,38.8004,36.4371,33.8081,0.0623161,33.6176,33.9695,33.8705,33.7458,1.06506
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4383.5,28.4804,1.69628,25.3049,31.3888,30.1767,26.7841,32.7744,0.0704703,32.5826,32.894,32.8448,32.7039,1.19381
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3683.5,37.2725,1.1166,35.1123,40.0354,38.3891,36.1559,35.0237,0.0192682,34.9755,35.073,35.0429,35.0044,0.0392543
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3743.5,37.1747,0.985727,35.329,39.5353,38.1604,36.189,35.1815,0.0198882,35.13,35.2323,35.2014,35.1616,0.0966997
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3896.5,37.0752,1.0939,35.0096,39.9096,38.1691,35.9813,34.9416,0.0211223,34.8854,34.9951,34.9627,34.9205,0.0144746
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3987.5,36.6002,1.08649,34.4714,38.9521,37.6867,35.5137,34.1099,0.0173383,34.0658,34.1472,34.1272,34.0926,0.324203
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:4049.5,35.9878,0.963281,34.1836,39.0504,36.9511,35.0245,33.8962,0.0145906,33.8638,33.9323,33.9108,33.8816,0.251234
oname:heads.csv_otype:lst_usecol:trgw-0-29-15_time:3896.5,34.9858,0.329856,34.22,35.8787,35.3156,34.6559,34.066,0.00573597,34.0513,34.0767,34.0717,34.0602,0.143314
oname:heads.csv_otype:lst_usecol:trgw-0-29-15_time:3957.5,34.6899,0.358849,34.0119,35.5159,35.0487,34.331,33.8469,0.00354299,33.8407,33.8555,33.8504,33.8433,0.156368
oname:heads.csv_otype:lst_usecol:trgw-0-29-15_time:4322.5,34.4547,0.407127,33.7165,35.4295,34.8618,34.0475,33.6856,0.00281663,33.6792,33.6937,33.6884,33.6827,0.0227632
oname:heads.csv_otype:lst_usecol:trgw-0-33-7_time:3712.5,36.3017,0.781352,34.9269,38.6215,37.083,35.5203,34.6641,0.012929,34.6362,34.7019,34.677,34.6512,0.22502
oname:heads.csv_otype:lst_usecol:trgw-0-33-7_time:3743.5,36.376,0.79701,34.9692,38.1222,37.173,35.579,34.7644,0.0132781,34.7355,34.8031,34.7777,34.7511,0.166116
oname:heads.csv_otype:lst_usecol:trgw-0-34-10_time:3652.5,35.3674,0.448624,34.5862,36.6203,35.816,34.9188,34.3456,0.00983118,34.3286,34.3746,34.3554,34.3357,0.211642
oname:heads.csv_otype:lst_usecol:trgw-0-34-10_time:3804.5,35.3479,0.441499,34.6093,36.2688,35.7894,34.9064,34.5177,0.0130855,34.4958,34.5559,34.5308,34.5047,0.0533838
oname:heads.csv_otype:lst_usecol:trgw-0-34-10_time:3865.5,35.2336,0.416118,34.4244,36.1039,35.6497,34.8175,34.3397,0.0128198,34.3183,34.3771,34.3525,34.3269,0.0473515
oname:heads.csv_otype:lst_usecol:trgw-0-34-10_time:4230.5,35.1329,0.494716,34.2218,35.9826,35.6277,34.6382,34.009,0.0092346,33.9913,34.0332,34.0182,33.9997,0.188581
oname:heads.csv_otype:lst_usecol:trgw-0-34-10_time:4261.5,35.0139,0.413499,33.9809,35.7207,35.4274,34.6004,33.8427,0.00883971,33.8248,33.865,33.8515,33.8338,0.115834
oname:heads.csv_otype:lst_usecol:trgw-0-34-10_time:4291.5,34.6937,0.442858,33.7393,35.5373,35.1366,34.2509,33.6703,0.0083604,33.6521,33.6909,33.6786,33.6619,0.0484758
oname:heads.csv_otype:lst_usecol:trgw-0-9-1_time:3743.5,40.5882,1.67938,37.582,44.812,42.2676,38.9088,37.0412,0.0447945,36.9575,37.1424,37.086,36.9964,0.439638
oname:heads.csv_otype:lst_usecol:trgw-0-9-1_time:3987.5,39.4926,1.72442,36.5059,43.0083,41.2171,37.7682,36.256,0.0490839,36.1648,36.366,36.3051,36.2069,0.139883
