,icsubno,"(k, i, j)",nodelay,stress_offset,ib_thick[k],1.0,ib_cv,ib_cr,ib_theta,999.0,999.0,boundname,b0,b1,b2
154,154,"(2, 4, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_10,2,4,9
155,155,"(3, 4, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_10,3,4,9
156,156,"(0, 4, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_11,0,4,10
157,157,"(1, 4, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_11,1,4,10
158,158,"(2, 4, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_11,2,4,10
159,159,"(3, 4, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_11,3,4,10
160,160,"(0, 4, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_12,0,4,11
161,161,"(1, 4, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_12,1,4,11
162,162,"(2, 4, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_12,2,4,11
163,163,"(3, 4, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_12,3,4,11
164,164,"(0, 4, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_13,0,4,12
165,165,"(1, 4, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_13,1,4,12
166,166,"(2, 4, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_13,2,4,12
167,167,"(3, 4, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_13,3,4,12
168,168,"(0, 5, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_03,0,5,2
169,169,"(1, 5, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_03,1,5,2
170,170,"(2, 5, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_03,2,5,2
171,171,"(3, 5, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_03,3,5,2
172,172,"(0, 5, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_04,0,5,3
173,173,"(1, 5, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_04,1,5,3
174,174,"(2, 5, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_04,2,5,3
175,175,"(3, 5, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_04,3,5,3
176,176,"(0, 5, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_05,0,5,4
177,177,"(1, 5, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_05,1,5,4
178,178,"(2, 5, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_05,2,5,4
179,179,"(3, 5, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_05,3,5,4
180,180,"(0, 5, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_06,0,5,5
181,181,"(1, 5, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_06,1,5,5
182,182,"(2, 5, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_06,2,5,5
183,183,"(3, 5, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_06,3,5,5
184,184,"(0, 5, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_07,0,5,6
185,185,"(1, 5, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_07,1,5,6
186,186,"(2, 5, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_07,2,5,6
187,187,"(3, 5, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_07,3,5,6
188,188,"(0, 5, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_08,0,5,7
189,189,"(1, 5, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_08,1,5,7
190,190,"(2, 5, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_08,2,5,7
191,191,"(3, 5, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_08,3,5,7
192,192,"(0, 5, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_09,0,5,8
193,193,"(1, 5, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_09,1,5,8
194,194,"(2, 5, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_09,2,5,8
195,195,"(3, 5, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_09,3,5,8
196,196,"(0, 5, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_10,0,5,9
197,197,"(1, 5, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_10,1,5,9
198,198,"(2, 5, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_10,2,5,9
199,199,"(3, 5, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_10,3,5,9
200,200,"(0, 5, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_11,0,5,10
201,201,"(1, 5, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_11,1,5,10
202,202,"(2, 5, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_11,2,5,10
203,203,"(3, 5, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_11,3,5,10
204,204,"(0, 5, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_12,0,5,11
205,205,"(1, 5, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_12,1,5,11
206,206,"(2, 5, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_12,2,5,11
207,207,"(3, 5, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_12,3,5,11
208,208,"(0, 5, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_13,0,5,12
209,209,"(1, 5, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_13,1,5,12
210,210,"(2, 5, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_13,2,5,12
211,211,"(3, 5, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_13,3,5,12
212,212,"(0, 5, 13)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_06_14,0,5,13
213,213,"(1, 5, 13)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_06_14,1,5,13
214,214,"(2, 5, 13)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_06_14,2,5,13
215,215,"(3, 5, 13)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_06_14,3,5,13
216,216,"(0, 6, 1)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_02,0,6,1
