,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,parchglim,scale,dercom,offset
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:4_x:1125.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:4_x:1125.00_y:9625.00_zone:1,38.77903,1,4,1125.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:5_x:1375.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:5_x:1375.00_y:9625.00_zone:1,38.5094,1,5,1375.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:6_x:1625.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:6_x:1625.00_y:9625.00_zone:1,38.18487,1,6,1625.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:7_x:1875.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:7_x:1875.00_y:9625.00_zone:1,37.88506,1,7,1875.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:8_x:2125.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:8_x:2125.00_y:9625.00_zone:1,37.55638,1,8,2125.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:9_x:2375.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:9_x:2375.00_y:9625.00_zone:1,37.19908,1,9,2375.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:10_x:2625.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:10_x:2625.00_y:9625.00_zone:1,36.87337,1,10,2625.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:11_x:2875.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:11_x:2875.00_y:9625.00_zone:1,36.55434,1,11,2875.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:12_x:3125.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:12_x:3125.00_y:9625.00_zone:1,36.22192,1,12,3125.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:13_x:3375.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:13_x:3375.00_y:9625.00_zone:1,35.86011,1,13,3375.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
