,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,1.230259,1.287878,1.332473,1.306635,1.0,1.0,1.0,1.0,1.198896,1.190858,1.186933,1.185493,1.17974,1.171324,1.160639,1.146169,1.129299,1.117091,1.109156,1.112635
15,1.247989,1.299716,1.335107,1.311332,1.0,1.0,1.0,1.0,1.219265,1.215144,1.215939,1.216727,1.222861,1.23123,1.243558,1.26167,1.282856,1.294088,1.274248,1.239039
16,1.258614,1.304678,1.340421,1.316217,1.0,1.0,1.0,1.0,1.233523,1.234028,1.239194,1.248909,1.264442,1.289037,1.327008,1.380557,1.452846,1.5057,1.449011,1.367214
17,1.263042,1.306255,1.348568,1.31725,1.0,1.0,1.0,1.0,1.242013,1.245565,1.25622,1.273169,1.299098,1.341771,1.397952,1.477954,1.595753,1.775961,1.588561,1.468776
18,1.262496,1.303851,1.332747,1.311192,1.0,1.0,1.0,1.0,1.243832,1.250699,1.263736,1.281729,1.319145,1.378249,1.442478,1.525766,1.620924,1.693597,1.628416,1.523927
19,1.258925,1.299824,1.322293,1.303281,1.0,1.0,1.0,1.0,1.237472,1.248023,1.264275,1.288087,1.328161,1.381434,1.445555,1.514378,1.583987,1.636756,1.618129,1.534952
20,1.248788,1.294048,1.315578,1.296387,1.0,1.0,1.0,1.0,1.224365,1.241161,1.262648,1.28957,1.329599,1.379327,1.435294,1.493863,1.551882,1.597286,1.593698,1.531835
21,1.230446,1.279491,1.314249,1.291486,1.0,1.0,1.205907,1.193236,1.206207,1.232037,1.259202,1.286514,1.326316,1.37361,1.422287,1.474625,1.527291,1.570499,1.564726,1.531321
22,1.193187,1.243464,1.319777,1.260498,1.221845,1.0,1.175354,1.156308,1.191377,1.224079,1.255763,1.287331,1.320329,1.366327,1.412625,1.459767,1.507454,1.55516,1.541494,1.519393
23,1.135395,1.164268,1.190154,1.180594,1.163859,1.153761,1.148806,1.15974,1.187772,1.220956,1.253235,1.285487,1.325174,1.367848,1.408689,1.450248,1.493962,1.526769,1.526985,1.510234
24,1.066489,1.070039,1.080222,1.091394,1.100763,1.112119,1.129556,1.154679,1.186413,1.220488,1.252758,1.288715,1.329707,1.371836,1.411418,1.448617,1.485474,1.510819,1.519411,1.504275
25,1.001634,0.9789262,0.9794358,1.005005,1.038289,1.07199,1.107691,1.145721,1.184221,1.219703,1.254458,1.292879,1.334891,1.375818,1.412706,1.446703,1.480389,1.50432,1.516555,1.504585
26,0.9485067,0.9037085,0.8830538,0.9256388,0.9839285,1.03829,1.087183,1.137081,1.181163,1.216261,1.255056,1.296837,1.341976,1.380666,1.411439,1.443631,1.478026,1.505197,1.514884,1.506419
27,0.929163,0.8668018,0.7845695,0.8776523,0.9546314,1.019186,1.076403,1.132415,1.171172,1.210163,1.251596,1.297793,1.352668,1.382402,1.415341,1.450024,1.483914,1.514121,1.523195,1.51981
28,0.9324406,0.8824132,0.8581947,0.8992277,0.9581536,1.015203,1.066727,1.121396,1.167102,1.203036,1.242205,1.285043,1.336156,1.382777,1.422192,1.463243,1.505111,1.541942,1.550222,1.53692
29,0.9595053,0.9289777,0.9257949,0.9519378,0.9891418,1.028617,1.071369,1.115268,1.157597,1.194352,1.230009,1.272252,1.32287,1.376756,1.430887,1.482633,1.534322,1.577802,1.587807,1.559031
30,0.9983216,0.9862506,0.9905776,1.006892,1.027107,1.049375,1.07716,1.110349,1.147912,1.1845,1.218591,1.258245,1.309625,1.370234,1.436056,1.502532,1.570376,1.625224,1.626761,1.578833
31,1.038576,1.045239,1.056391,1.060796,1.063168,1.070181,1.081381,1.102985,1.137291,1.172044,1.206941,1.243994,1.29339,1.361861,1.432608,1.516247,1.611776,1.689528,1.657083,1.585391
32,1.0,1.090002,1.127874,1.101115,1.08789,1.083643,1.084906,1.089337,1.121058,1.153296,1.187646,1.225863,1.270831,1.330895,1.402481,1.493174,1.613357,1.778777,1.647709,1.562596
33,1.0,1.0,1.114649,1.105513,1.095175,1.086651,1.082425,1.087004,1.105271,1.132639,1.162202,1.19328,1.239559,1.291818,1.351426,1.426312,1.515632,1.58449,1.559833,1.501266
34,1.0,1.0,1.0,1.094099,1.085136,1.076894,1.07265,1.077162,1.090241,1.110626,1.13405,1.163605,1.201296,1.244007,1.287885,1.338133,1.390383,1.428362,1.437559,1.41472
35,1.0,1.0,1.0,1.0,1.074126,1.064593,1.058509,1.061206,1.072015,1.088953,1.106707,1.129703,1.158369,1.189525,1.218967,1.247887,1.273972,1.295793,1.315789,1.0
36,1.0,1.0,1.0,1.0,1.064968,1.053302,1.041651,1.040176,1.051087,1.067246,1.081326,1.094321,1.113412,1.134816,1.153989,1.167147,1.171944,1.177963,1.208633,1.0
37,1.0,1.0,1.0,1.0,1.0,1.045811,1.031514,1.014582,1.03327,1.048681,1.060365,1.067406,1.068667,1.08911,1.102002,1.10512,1.095288,1.069222,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.043854,1.033373,1.027127,1.029891,1.037768,1.046567,1.055729,1.06295,1.066037,1.06711,1.067554,1.067706,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.047049,1.040014,1.036393,1.037548,1.04241,1.047308,1.054001,1.059397,1.062729,1.064529,1.065762,1.0,1.0,1.0,1.0
