,0,1
284,-1275.36,-836.1117
285,-1258.123,-861.2903
286,-1197.773,-858.7199
287,-1240.886,-886.4689
288,-1222.656,-910.9377
289,-1162.505,-906.0119
290,-1204.425,-935.4064
291,-1185.23,-959.1262
292,-1125.337,-951.8401
293,-1166.035,-982.846
294,-1145.907,-1005.779
295,-1086.352,-996.0927
296,-1125.779,-1028.712
297,-1104.749,-1050.821
298,-1045.651,-1038.732
299,-1083.719,-1072.93
300,-1061.821,-1094.18
301,-1003.263,-1079.71
302,-1039.924,-1115.43
303,-1017.193,-1135.787
304,-959.272,-1118.954
305,-994.4629,-1156.144
306,-970.9364,-1175.575
307,-913.7647,-1156.405
308,-947.4098,-1195.006
309,-923.1246,-1213.48
310,-866.7533,-1192.008
311,-898.8395,-1231.955
312,-873.8346,-1249.443
313,-818.3127,-1225.703
314,-848.8297,-1266.931
315,-823.1452,-1283.404
316,-768.6054,-1257.474
317,-797.4607,-1299.877
318,-771.1376,-1315.31
319,-717.7015,-1287.291
320,-744.8146,-1330.743
321,-717.8951,-1345.11
322,-665.6174,-1315.018
323,-690.9757,-1359.477
324,-663.503,-1372.756
325,-612.4736,-1340.587
326,-636.0303,-1386.034
327,-608.0483,-1398.203
328,-558.3762,-1364.001
329,-580.0663,-1410.372
330,-551.6199,-1421.411
331,-503.3491,-1385.218
332,-523.1735,-1432.451
333,-494.3081,-1442.343
334,-447.4782,-1404.205
335,-465.4428,-1452.236
336,-436.2047,-1460.965
337,-390.9226,-1420.993
338,-406.9667,-1469.695
339,-377.4028,-1477.248
340,-333.758,-1435.571
341,-347.8389,-1484.801
342,-317.9965,-1491.165
343,-276.0368,-1447.816
344,-288.1541,-1497.529
345,-258.081,-1502.694
346,-217.8945,-1457.692
347,-228.0079,-1507.859
348,-197.7522,-1511.816
349,-159.4322,-1465.235
350,-167.4965,-1515.774
351,-137.1067,-1518.518
352,-100.7046,-1470.425
353,-106.7169,-1521.261
354,-76.24159,-1522.787
355,-41.82172,-1473.26
356,-45.76633,-1524.313
357,-15.25443,-1524.618
358,17.112899,-1473.747
359,15.25748,-1524.924
360,45.75717,-1524.008
361,76.053474,-1471.85
362,76.25686,-1523.092
363,106.69549,-1520.957
364,134.90502,-1467.572
365,137.13412,-1518.822
366,167.46295,-1515.47
367,193.53135,-1461.001
368,197.79177,-1512.119
369,227.96223,-1507.557
370,251.85791,-1452.158
371,258.13268,-1502.995
372,288.09645,-1497.229
373,309.78814,-1440.949
374,318.06021,-1491.463
375,347.76931,-1484.503
376,367.18407,-1427.395
377,377.4784,-1477.544
378,406.88524,-1469.401
379,423.96577,-1411.566
380,436.29209,-1461.258
381,465.34959,-1451.945
382,480.08802,-1393.444
383,494.40709,-1442.632
384,523.06872,-1432.164
