,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
589,"(2, 10, 2)","(5, 12, 0)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,12,0
590,"(2, 10, 2)","(5, 12, 1)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,12,1
591,"(2, 10, 2)","(5, 12, 2)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,12,2
592,"(2, 10, 3)","(5, 12, 3)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,12,3
593,"(2, 10, 3)","(5, 12, 4)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,12,4
594,"(2, 10, 3)","(5, 12, 5)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,12,5
595,"(2, 10, 4)","(5, 12, 6)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,12,6
596,"(2, 10, 4)","(5, 12, 7)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,12,7
597,"(2, 10, 4)","(5, 12, 8)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,12,8
598,"(2, 10, 5)","(5, 12, 9)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,12,9
599,"(2, 10, 5)","(5, 12, 10)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,12,10
600,"(2, 10, 5)","(5, 12, 11)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,12,11
601,"(2, 10, 6)","(5, 12, 12)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,12,12
602,"(2, 10, 6)","(5, 12, 13)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,12,13
603,"(2, 10, 6)","(5, 12, 14)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,12,14
604,"(2, 10, 7)","(5, 12, 15)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,12,15
605,"(2, 10, 7)","(5, 12, 16)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,12,16
606,"(1, 10, 8)","(5, 12, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,10,8,5,12,17
607,"(2, 10, 7)","(5, 12, 17)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,12,17
608,"(1, 10, 1)","(5, 13, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,10,1,5,13,0
